H [A/m];B [T]
5.649606299;-0.059015726
5.92519685;-0.040572294
6.200787402;-0.032115719
6.476377953;-0.022174954
6.751968504;-0.005282628
7.027559055;0.007209539
7.303149606;0.030044226
7.578740157;0.039141705
7.854330709;0.047052253
8.12992126;0.058767607
8.405511811;0.079318293
8.681102362;0.092319491
8.956692913;0.103451493
9.232283465;0.124662249
9.507874016;0.146010505
9.783464567;0.153619494
10.05905512;0.161966741
10.33464567;0.179216378
10.61023622;0.197152311
10.88582677;0.205948423
11.16141732;0.212340743
11.43700787;0.231058085
11.71259843;0.236693351
11.98818898;0.256793383
12.26377953;0.2708896
12.53937008;0.279554526
12.81496063;0.286175668
13.09055118;0.297943589
13.36614173;0.315393838
13.64173228;0.319305393
13.91732283;0.325401371
14.19291339;0.335246925
14.46850394;0.341669542
14.74409449;0.348727806
15.01968504;0.362964882
15.29527559;0.371774224
15.57086614;0.381433926
15.84645669;0.389620141
16.12204724;0.39475936
16.3976378;0.400161521
16.67322835;0.406856403
16.9488189;0.414300864
17.22440945;0.42360443
17.5;0.431557965
