H [A/m];B [T]
15.1161;0.077573
14.6544;0.076464
14.1736;0.075198
13.7114;0.073537
13.2214;0.071797
12.7499;0.069978
12.2783;0.068554
11.816;0.06713
11.3076;0.065075
10.8638;0.063098
10.383;0.061674
9.9299;0.060408
9.4401;0.058115
8.9593;0.05606
8.4969;0.054478
8.0347;0.05258
7.5447;0.050604
7.0732;0.048627
6.5924;0.046493
6.1393;0.044674
5.6494;0.042619
5.1779;0.040405
4.6971;0.038034
4.244;0.036058
3.7448;0.034002
3.2826;0.0313942
2.81107;0.0287075
2.34868;0.0267309
1.89562;0.0249122
1.36883;0.0217519
0.9157;0.019223
0.46266;0.0167729
-0.00885;0.014244
-0.49887;0.011715
-0.97958;0.0087915
-1.43262;0.0059469
-1.93192;0.00333903
-2.39422;0.00088899
-2.87488;-0.00227128
-3.3371;-0.0055105
-3.818;-0.0080394
-4.2895;-0.0106473
-4.7702;-0.0138865
-5.2233;-0.0166521
-5.7133;-0.0197335
-6.194;-0.0228148
-6.6656;-0.0256595
-7.1186;-0.0285041
-7.5994;-0.031585
-8.0802;-0.034588
-8.5517;-0.037511
-9.014;-0.040435
-9.4947;-0.043753
-9.9663;-0.046519
-10.4471;-0.049127
-10.9093;-0.052366
-11.39;-0.055763
-11.8709;-0.058292
-12.3425;-0.060663
-12.8046;-0.063823
-13.2854;-0.066747
-13.7662;-0.069749
-14.2378;-0.072357
-14.7001;-0.074807
-15.1623;-0.077573
-14.7006;-0.076393
-14.2292;-0.074581
-13.7485;-0.072612
-13.2861;-0.071432
-12.8145;-0.070331
-12.3339;-0.068204
-11.8346;-0.066077
-11.3907;-0.064818
-10.9193;-0.063165
-10.4478;-0.061432
-9.967;-0.059621
-9.4955;-0.05781
-9.0239;-0.056077
-8.5524;-0.054266
-8.0717;-0.052218
-7.6002;-0.05017
-7.1286;-0.048437
-6.6571;-0.046626
-6.1764;-0.044341
-5.7141;-0.04182
-5.2332;-0.040166
-4.7617;-0.038434
-4.2719;-0.035754
-3.8096;-0.033233
-3.3472;-0.0311847
-2.87571;-0.0289788
-2.38572;-0.0266151
-1.88651;-0.0239357
-1.46118;-0.021493
-0.98038;-0.0192082
-0.48113;-0.0168445
-0.0189;-0.0139284
0.44332;-0.0109333
0.91496;-0.0086485
1.40496;-0.0062848
1.86713;-0.0032108
2.3387;-0.00045255
2.81021;0.00238466
3.3002;0.0053008
3.7625;0.0080591
4.234;0.0109752
4.7055;0.0139702
5.1863;0.0168864
5.6486;0.0195657
6.1201;0.0226397
6.5916;0.0259504
7.0909;0.0287876
7.544;0.0312302
8.0246;0.034541
8.4869;0.038009
8.977;0.040768
9.4393;0.043526
9.92;0.046442
10.3915;0.049516
10.8723;0.052669
11.3162;0.055191
11.8154;0.057949
12.2776;0.061102
12.7676;0.064412
13.2208;0.066618
13.6923;0.068903
14.1729;0.072135
14.663;0.07513
15.1161;0.077573
