H [A/m];B [T]
-2836.10361938;-1.62861435
-2746.06781288;-1.62246598
-2668.04702355;-1.61631762
-2584.03409012;-1.61327215
-2505.99793632;-1.60712378
-2427.977147;-1.60408149
-2361.95601039;-1.59793313
-2283.93522107;-1.59178158
-2211.92194034;-1.58873929
-2145.90080373;-1.58259092
-2079.87966712;-1.57644256
-2013.85853051;-1.57339709
-1953.84490249;-1.56724872
-1887.82376588;-1.56110035
-1827.81013786;-1.55495199
-1767.79650984;-1.55190652
-1713.77502594;-1.54575815
-1647.75388933;-1.53960978
-1599.73991402;-1.53656431
-1551.72593871;-1.52731305
-1497.71060059;-1.52116469
-1449.69662528;-1.51811922
-1395.68128717;-1.51507375
-1347.66731186;-1.50892538
-1299.65333655;-1.50277701
-1245.63646199;-1.49662865
-1197.62248668;-1.49048028
-1149.60851137;-1.48433191
-1107.59743531;-1.47818355
-1065.5848228;-1.47203518
-1029.57357309;-1.46588364
-987.56249703;-1.45973527
-945.54988452;-1.4535869
-903.53727201;-1.44433246
-867.52755876;-1.4381841
-831.51630905;-1.43203573
-795.50659579;-1.42588736
-759.49534608;-1.41663292
-723.48563282;-1.40738166
-693.47574592;-1.39812722
-657.46603266;-1.39197885
-627.4576822;-1.37962151
-591.4464325;-1.37347315
-561.43808204;-1.36421871
-537.43109438;-1.35496427
-507.42274393;-1.34570982
-483.41575627;-1.33956146
-459.40876862;-1.32720412
-429.39888171;-1.31484678
-405.39189406;-1.30869842
-387.38780565;-1.2963379
-369.3821808;-1.28708664
-345.37519314;-1.2747293
-327.36956829;-1.26547486
-309.36394344;-1.25311752
-291.35985503;-1.24386308
-273.35423018;-1.23150574
-261.34996813;-1.2222513
-243.34587972;-1.21299686
-225.34025487;-1.20374559
-213.33645375;-1.19449115
-201.33295992;-1.18213382
-189.32946609;-1.17598545
-177.32597227;-1.16362493
-165.32247844;-1.15437367
-153.31898461;-1.14511923
-141.31549078;-1.13897086
-129.31199696;-1.1328225
-123.31017322;-1.12356805
-111.30667939;-1.11431361
-99.30318556;-1.10506235
-93.30151547;-1.0989108
-87.29969174;-1.09276244
-75.29619791;-1.08661407
-69.294451;-1.08046571
-57.29095717;-1.06810837
-51.28921025;-1.06196
-45.28738652;-1.05581164
-45.28738652;-1.05276617
-39.28571643;-1.0497207
-33.28389269;-1.04357233
-33.28389269;-1.04053004
-27.2822226;-1.03748457
-27.2822226;-1.03444228
-21.28039886;-1.03139681
-21.28039886;-1.02835452
-15.27872877;-1.02530905
-15.27872877;-1.02226485
-15.27872877;-1.02232545
-15.27872877;-1.01928125
-9.27690504;-1.01934186
-9.27690504;-1.01629798
-9.27690504;-1.01635858
-9.27690504;-1.01641919
-9.27690504;-1.01337499
-9.27690504;-1.0134356
-3.27523494;-1.0134962
-3.27523494;-1.010452
-3.27523494;-1.01051261
-3.27523494;-1.00746873
-3.27523494;-1.01063382
-3.27523494;-1.01069442
-3.27523494;-1.01075503
-3.27523494;-1.01081563
-3.27523494;-1.01087624
-3.27523494;-1.01093685
-3.27523494;-1.01099745
-3.27523494;-1.00795357
-3.27523494;-1.00801418
-3.27523494;-1.00807478
-3.27523494;-1.00813539
-3.27523494;-1.00819599
-3.27523494;-1.0082566
-3.27523494;-1.0083172
-3.27523494;-1.00837781
-3.27523494;-1.00843841
-3.27523494;-1.00849902
-3.27523494;-1.00545482
2.72658879;-1.00241062
2.72658879;-1.00247123
2.72658879;-0.99942735
8.72825888;-0.99948795
8.72825888;-0.99644375
8.72825888;-0.99339987
14.73008262;-0.99035567
14.73008262;-0.98731147
20.73175271;-0.98426759
26.73357645;-0.97811859
26.73357645;-0.97507471
32.73524654;-0.97203051
38.73707028;-0.96277703
38.73707028;-0.95973314
44.73874037;-0.95047966
50.7405641;-0.94433097
56.74223419;-0.93507748
62.74405793;-0.92892848
74.74755176;-0.91967531
80.74922185;-0.91042183
86.75104559;-0.90116834
98.7548467;-0.88881005
104.7562095;-0.87645207
116.76047156;-0.8609893
128.76319716;-0.84552652
134.76455996;-0.83006342
146.76882201;-0.81149616
158.77154762;-0.79292858
170.77580967;-0.76815171
176.77717247;-0.74337484
188.78143452;-0.71238858
200.78416013;-0.68140233
218.78978498;-0.63799746
230.79251058;-0.58838312
248.79813544;-0.5139313
260.80239749;-0.42395577
278.80648589;-0.3122479
296.81211075;-0.18191057
314.8177356;-0.04226136
321.82429033;0
