url_path,views_total,views_unique
/matias-gonz/mag-analyst,5,5
/matias-gonz/mag-analyst/tree/main/articles,3,2
/matias-gonz/mag-analyst/blob/main/articles/2024%2C%20Silveyra%2C%20TMAG%2C%20MagAnalyst%20A%20MATLAB%20Toolbox%20for%20Anhysteretic%20Magnetization%20Analysis.pdf,1,1
/matias-gonz/mag-analyst/blob/main/data/sampleData/MnZn%20ferrite.csv,1,1
/matias-gonz/mag-analyst/blob/main/explanation-document.md,1,1
/matias-gonz/mag-analyst/blob/main/.github/workflows/stats.yml,1,1
/matias-gonz/mag-analyst/blob/main/src/MagneticParameters/LangevinPrivate.m,1,1
/matias-gonz/mag-analyst/tree/main,1,1
/matias-gonz/mag-analyst/tree/main/data/sampleData,1,1
/matias-gonz/mag-analyst/tree/main/.github/workflows,1,1
