referrer,views_total,views_unique
mathworks.com,6,1
magnetism.eu,4,4
github.com,4,3
DuckDuckGo,4,2
mail.google.com,3,1
l.facebook.com,1,1
youtube.com,1,1
com.linkedin.android,1,1
linkedin.com,1,1
