url_path,views_total,views_unique
/matias-gonz/mag-analyst,68,28
/matias-gonz/mag-analyst/tree/github-repo-stats/matias-gonz/mag-analyst,17,2
/matias-gonz/mag-analyst/blob/main/explanation-document.md,14,5
/matias-gonz/mag-analyst/tree/main/data/sampleData,8,2
/matias-gonz/mag-analyst/tree/github-repo-stats,7,1
/matias-gonz/mag-analyst/blob/main/README.md,6,3
/matias-gonz/mag-analyst/releases,6,2
/matias-gonz/mag-analyst/issues,5,5
/matias-gonz/mag-analyst/tree/main/articles,5,2
/matias-gonz/mag-analyst/actions,5,1
