url_path,views_total,views_unique
/matias-gonz/mag-analyst,7,5
/matias-gonz/mag-analyst/blob/main/data/sampleData/MnZn%20ferrite%20(one%20component).txt,7,1
/matias-gonz/mag-analyst/blob/main/data/sampleData/MnZn%20ferrite.csv,4,1
/matias-gonz/mag-analyst/tree/main,3,1
/matias-gonz/mag-analyst/tree/main/data/sampleData,3,1
/matias-gonz/mag-analyst/blob/main/explanation-document.md,2,2
/matias-gonz/mag-analyst/blob/main/data/sampleData/Finemet%20-%20TA%20(one%20component).txt,2,1
/matias-gonz/mag-analyst/blob/main/data/sampleData/JNEX-900.csv,2,1
/matias-gonz/mag-analyst/blob/main/app_exported.m,1,1
/matias-gonz/mag-analyst/blob/main/data/sampleData/Finemet%20-%20TA.csv,1,1
