time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-09 00:00:00+00:00,1.0,1.0,3,1
2024-07-10 00:00:00+00:00,2.0,2.0,80,2
2024-07-11 00:00:00+00:00,2.0,1.0,41,10
2024-07-14 00:00:00+00:00,3.0,1.0,9,4
2024-07-15 00:00:00+00:00,,,6,2
2024-07-16 00:00:00+00:00,,,2,1
2024-07-17 00:00:00+00:00,,,47,21
2024-07-18 00:00:00+00:00,,,17,7
2024-07-19 00:00:00+00:00,3.0,2.0,43,9
2024-07-20 00:00:00+00:00,,,1,1
2024-07-21 00:00:00+00:00,1.0,1.0,6,3
2024-07-22 00:00:00+00:00,11.0,9.0,23,6
