url_path,views_total,views_unique
/matias-gonz/mag-analyst,10,9
/matias-gonz/mag-analyst/blob/main/explanation-document.md,6,2
/matias-gonz/mag-analyst/blob/d8c522bd2bf03f0dcb43cb525570137bb677a3d8/src/Plotter/ResiduePlotter.m,2,1
/matias-gonz/mag-analyst/blob/main/README.md,2,1
/matias-gonz/mag-analyst/blob/main/data/sampleData/Finemet%20-%20TA%20(two%20components).txt,1,1
/matias-gonz/mag-analyst/blob/main/data/sampleData/Finemet%20-%20TA.csv,1,1
/matias-gonz/mag-analyst/issues/61,1,1
/matias-gonz/mag-analyst/stargazers,1,1
/matias-gonz/mag-analyst/tree/main,1,1
/matias-gonz/mag-analyst/tree/main/src,1,1
