url_path,views_total,views_unique
/matias-gonz/mag-analyst,10,8
/matias-gonz/mag-analyst/blob/main/explanation-document.md,3,2
/matias-gonz/mag-analyst/blob/main/articles/2024%2C%20Silveyra%2C%20TMAG%2C%20MagAnalyst%20A%20MATLAB%20Toolbox%20for%20Anhysteretic%20Magnetization%20Analysis.pdf,2,1
/matias-gonz/mag-analyst/issues/61,2,1
/matias-gonz/mag-analyst/tree/main/articles,2,1
/matias-gonz/mag-analyst/blob/main/src/AnhystereticCurve/DataAnhystereticCurve.m,1,1
/matias-gonz/mag-analyst/blob/main/src/interparc/interparc.m,1,1
/matias-gonz/mag-analyst/blob/main/src/MagneticParameters/LangevinPrivate.m,1,1
/matias-gonz/mag-analyst/tree/github-repo-stats/matias-gonz/mag-analyst,1,1
/matias-gonz/mag-analyst/tree/main/src,1,1
