referrer,views_total,views_unique
github.com,20,5
linkedin.com,9,6
mathworks.com,6,1
magnetism.eu,4,4
DuckDuckGo,4,2
mail.google.com,3,1
l.facebook.com,1,1
youtube.com,1,1
com.linkedin.android,1,1
