referrer,views_total,views_unique
linkedin.com,27,10
github.com,20,4
com.linkedin.android,9,9
magnetism.eu,4,4
DuckDuckGo,4,2
l.facebook.com,1,1
lnkd.in,1,1
youtube.com,1,1
