url_path,views_total,views_unique
/matias-gonz/mag-analyst,8,7
/matias-gonz/mag-analyst/commits/github-repo-stats/matias-gonz/mag-analyst,5,1
/matias-gonz/mag-analyst/blob/main/explanation-document.md,2,2
/matias-gonz/mag-analyst/blob/github-repo-stats/matias-gonz/mag-analyst/latest-report/report_for_pdf.html,2,1
/matias-gonz/mag-analyst/tree/github-repo-stats/matias-gonz/mag-analyst,2,1
/matias-gonz/mag-analyst/blame/github-repo-stats/matias-gonz/mag-analyst/latest-report/report_for_pdf.html,1,1
/matias-gonz/mag-analyst/blob/github-repo-stats/matias-gonz/mag-analyst/latest-report/report.html,1,1
/matias-gonz/mag-analyst/issues/61,1,1
/matias-gonz/mag-analyst/tree/github-repo-stats/matias-gonz/mag-analyst/latest-report,1,1
/matias-gonz/mag-analyst/tree/main,1,1
