referrer,views_total,views_unique
mathworks.com,6,1
DuckDuckGo,4,2
github.com,3,2
mail.google.com,3,1
magnetism.eu,2,2
com.linkedin.android,1,1
youtube.com,1,1
linkedin.com,1,1
