H [A/m];M [A/m];M1 [A/m];M2 [A/m];dM/dH;dM1/dH;dM2/dH;dM/dlogH [A/m];dM1/dlogH [A/m];dM2/dlogH [A/m]
1.56526316574812e-06;0.00158389574137306;0.00136763630145019;0.000216259439922863;1011.90379583174;873.742083057069;138.16171277467;0.00158389573889613;0.00136763629897327;0.000216259439922863
1.93214290742155e-06;0.0019551427445861;0.00168819457117131;0.000266948173414793;1011.90379583174;873.742083057069;138.16171277467;0.00195514274210924;0.00168819456869445;0.000266948173414793
2.38501505458677e-06;0.00241340578932897;0.00208388802439389;0.000329517764935082;1011.90379583174;873.742083057069;138.16171277467;0.00241340578685219;0.00208388802191711;0.000329517764935082
2.94403524126306e-06;0.00297908043817318;0.00257232748677128;0.000406752951401895;1011.90379583174;873.742083057069;138.16171277467;0.0029790804356965;0.00257232748429461;0.000406752951401895
3.63408335101708e-06;0.00367734273973965;0.00317525155959722;0.000502091180142433;1011.90379583174;873.742083057069;138.16171277467;0.00367734273726311;0.00317525155712067;0.000502091180142433
4.48587082689729e-06;0.00453926971982462;0.00391949412309457;0.000619775596730057;1011.90379583174;873.742083057069;138.16171277467;0.00453926971734823;0.00391949412061818;0.000619775596730057
5.53730752212283e-06;0.00560322250279993;0.00483817861138337;0.000765043891416556;1011.90379583174;873.742083057069;138.16171277467;0.00560322250032373;0.00483817860890718;0.000765043891416556
6.83518892490394e-06;0.00691655362081332;0.00597219221181013;0.000944361409003186;1011.90379583174;873.742083057069;138.16171277467;0.00691655361833736;0.00597219220933418;0.000944361409003186
8.43727884941788e-06;0.00853771449669247;0.0073720055996994;0.00116570889699307;1011.90379583174;873.742083057069;138.16171277467;0.00853771449421681;0.00737200559722373;0.00116570889699308
1.04148802856733e-05;0.0105388568966812;0.00909991919806947;0.00143893769861177;1011.90379583174;873.742083057069;138.16171277467;0.0105388568942059;0.00909991919559417;0.00143893769861177
1.28560088271101e-05;0.0130090441338739;0.0112328359348741;0.00177620819899982;1011.90379583174;873.742083057069;138.16171277467;0.0130090441313991;0.0112328359323993;0.00177620819899982
1.58693099132487e-05;0.0160582149409209;0.0138656839027544;0.0021925310381665;1011.90379583174;873.742083057069;138.16171277467;0.0160582149384466;0.0138656839002801;0.0021925310381665
1.95888942291075e-05;0.019822076429054;0.0171156412509986;0.00270643517805535;1011.90379583174;873.742083057069;138.16171277467;0.0198220764265804;0.017115641248525;0.00270643517805535
2.41803064668115e-05;0.0244681439006141;0.021127351343743;0.00334079255687112;1011.90379583174;873.742083057069;138.16171277467;0.0244681438981414;0.0211273513412702;0.00334079255687112
2.98478930964938e-05;0.0302031963243938;0.0260793602914669;0.00412383603292684;1011.90379583174;873.742083057069;138.16171277467;0.030203196321922;0.0260793602889952;0.00412383603292684
3.68438970582328e-05;0.03728247928893;0.032192063366071;0.00509041592285908;1011.90379583174;873.742083057069;138.16171277467;0.0372824792864596;0.0321920633636005;0.00509041592285908
4.54796841455155e-05;0.0460210650225445;0.0397375139645491;0.00628355105799544;1011.90379583174;873.742083057069;138.16171277467;0.0460210650200757;0.0397375139620802;0.00628355105799544
5.61396007242853e-05;0.0568078750718495;0.0490515316812961;0.00775634339055339;1011.90379583174;873.742083057069;138.16171277467;0.0568078750693826;0.0490515316788292;0.00775634339055339
6.92980795424661e-05;0.0701229897353357;0.0605486483737532;0.00957434136158246;1011.90379583174;873.742083057069;138.16171277467;0.0701229897328712;0.0605486483712887;0.00957434136158246
8.55407549451379e-05;0.0865590146297591;0.0747405574145005;0.0118184572152586;1011.90379583174;873.742083057068;138.16171277467;0.0865590146272976;0.074740557412039;0.0118184572152586
0.000105590527254079;0.106847455334735;0.0922588872365311;0.0145885680982041;1011.90379583174;873.742083057068;138.16171277467;0.106847455332277;0.0922588872340732;0.0145885680982041
0.000130339736339072;0.131891273951668;0.113883312736463;0.0180079612152051;1011.90379583174;873.742083057068;138.16171277467;0.131891273949215;0.11388331273401;0.0180079612152051
0.000160889876305476;0.162805076546858;0.140576255668388;0.0222288208784694;1011.90379583174;873.742083057067;138.16171277467;0.16280507654441;0.140576255665941;0.0222288208784694
0.000198600618849278;0.200964720070557;0.173525718412232;0.0274390016583257;1011.90379583174;873.742083057067;138.16171277467;0.200964720068116;0.173525718409791;0.0274390016583257
0.000245150327124552;0.248068546569158;0.21419815748636;0.0338703890827988;1011.90379583174;873.742083057065;138.16171277467;0.248068546566726;0.214198157483927;0.0338703890827988
0.000302610753367717;0.306212969994716;0.264403750005399;0.0418092199893171;1011.90379583173;873.742083057063;138.16171277467;0.306212969992293;0.264403750002976;0.0418092199893171
0.000373539244788575;0.377985779696088;0.326376957847542;0.0516088218485464;1011.90379583173;873.74208305706;138.16171277467;0.377985779693677;0.326376957845131;0.0516088218485463
0.000461092561465149;0.466581313178754;0.402875975139069;0.0637053380396849;1011.90379583173;873.742083057056;138.16171277467;0.466581313176357;0.402875975136673;0.0637053380396848
0.000569167371848246;0.575942624039184;0.497305485089172;0.0786371389500113;1011.90379583172;873.742083057049;138.16171277467;0.575942624036803;0.497305485086792;0.0786371389500111
0.000702573678801637;0.710936972433187;0.613868189619551;0.0970687828136351;1011.90379583171;873.742083057039;138.16171277467;0.710936972430824;0.613868189617189;0.0970687828136348
0.000867248894717869;0.877572448498197;0.757751855802037;0.11982059269616;1011.90379583169;873.742083057023;138.161712774669;0.877572448495852;0.757751855799692;0.11982059269616
0.00107052209338705;1.08326536982235;0.935360203836868;0.14790516598548;1011.90379583167;873.742083056999;138.161712774669;1.08326536982002;0.935360203834537;0.147905165985478
