H [A/m];M [A/m];M1 [A/m];M2 [A/m];dM/dH;dM1/dH;dM2/dH;dM/dlogH [A/m];dM1/dlogH [A/m];dM2/dlogH [A/m]
0.000330170786374762;0.812055891605989;0.838254719242848;-0.0261988276368596;2459.5025517772;2538.85187253175;-79.3493207545497;0.812055891611013;0.838254719242846;-0.0261988276318329
0.000383350395926935;0.942851277002095;0.973269870534887;-0.030418593532792;2459.50255177711;2538.85187253166;-79.3493207545473;0.942851277007062;0.973269870534851;-0.0304185935277891
0.000445095484282285;1.09471347937179;1.1300315037255;-0.0353180243537054;2459.50255177699;2538.85187253153;-79.3493207545441;1.0947134793767;1.13003150372541;-0.0353180243487142
0.000516785667194775;1.27103566718242;1.31204225885499;-0.041006591672578;2459.50255177683;2538.85187253137;-79.3493207545397;1.27103566718724;1.31204225885483;-0.041006591667587
0.000600022770953504;1.47575753627953;1.52336893559692;-0.0476113993173884;2459.50255177661;2538.85187253114;-79.3493207545338;1.47575753628421;1.52336893559663;-0.0476113993124138
0.000696666623161258;1.71345333739801;1.76873336074318;-0.0552800233451759;2459.50255177631;2538.85187253084;-79.3493207545258;1.7134533374025;1.76873336074269;-0.055280023340195
0.000808876608225455;1.98943408199815;2.05361789144006;-0.0641838094419053;2459.50255177591;2538.85187253043;-79.3493207545151;1.98943408200235;2.05361789143926;-0.0641838094369059
0.000939159916066296;2.3098662100865;2.38438791151119;-0.0745217014246939;2459.50255177537;2538.85187252987;-79.3493207545006;2.3098662100902;2.38438791150991;-0.0745217014197144
0.00109042756209833;2.68190937150327;2.76843405789276;-0.086524686389494;2459.50255177465;2538.85187252913;-79.3493207544811;2.68190937150626;2.76843405789072;-0.0865246863844675
0.00126605943018098;3.11387639922543;3.2143373550501;-0.100460955824671;2459.50255177367;2538.85187252812;-79.3493207544548;3.11387639922725;3.21433735504688;-0.100460955819633
0.00146997979184027;3.61541904908496;3.73206094709525;-0.116641898010285;2459.50255177235;2538.85187252677;-79.3493207544193;3.61541904908492;3.73206094709017;-0.116641898005248
0.00170674498914309;4.1977436560219;4.33317271161648;-0.135429055594578;2459.50255177057;2538.85187252494;-79.3493207543715;4.19774365601906;4.3331727116085;-0.135429055589432
0.00198164524038681;4.87386152543792;5.03110372924384;-0.157242203805912;2459.50255176817;2538.85187252248;-79.3493207543071;4.8738615254306;5.0311037292313;-0.157242203800699
0.00230082284332312;5.65887965432651;5.84144838412539;-0.182568729798886;2459.50255176494;2538.85187251916;-79.3493207542202;5.65887965431225;5.84144838410574;-0.182568729793483
0.00267140941701762;6.57033827797722;6.78231280067933;-0.21197452270211;2459.50255176058;2538.85187251468;-79.3493207541031;6.57033827795207;6.78231280064853;-0.211974522696463
0.00310168524884044;7.62860278430513;7.87471940199924;-0.246116617694107;2459.5025517547;2538.85187250864;-79.3493207539452;7.62860278426296;7.87471940195098;-0.24611661768802
0.00360126430699443;8.85731875263614;9.14307662925763;-0.285757876621492;2459.50255174678;2538.85187250051;-79.3493207537324;8.8573187525674;9.14307662918207;-0.285757876614669
0.0041813090524516;10.2839402842124;10.6157243173925;-0.331784033180154;2459.5025517361;2538.85187248954;-79.3493207534454;10.2839402841019;10.6157243172742;-0.331784033172267
0.00485477984999803;11.9403434292929;12.3255669128054;-0.385223483512589;2459.5025517217;2538.85187247476;-79.3493207530586;11.9403434291172;12.3255669126202;-0.385223483502979
0.00563672455116128;13.8635384171018;14.3108086815179;-0.447270264416088;2459.50255170229;2538.85187245483;-79.3493207525372;13.8635384168241;14.3108086812279;-0.447270264403798
0.00654461471938368;16.0964966024987;16.6158073350807;-0.51931073258208;2459.50255167613;2538.85187242796;-79.3493207518343;16.0964966020613;16.6158073346269;-0.519310732565551
0.00759873600996686;18.6891106064461;19.2920651474254;-0.602954540979357;2459.50255164086;2538.85187239174;-79.3493207508867;18.6891106057588;19.2920651467149;-0.602954540956173
0.00882264142733288;21.6993091033965;22.3993797079064;-0.70007060450985;2459.50255159331;2538.85187234292;-79.3493207496092;21.6993091023181;22.3993797067943;-0.700070604476227
0.0102436775870609;25.1943511641097;26.0071800226534;-0.812828858543632;2459.50255152921;2538.8518722771;-79.3493207478871;25.194351162419;26.0071800209126;-0.812828858493641
0.011893595741358;29.2523290743482;30.196077817723;-0.943748743374748;2459.5025514428;2538.85187218837;-79.3493207455656;29.2523290716992;30.1960778149983;-0.943748743299107
0.013809261220553;33.9639132080305;35.0596687059521;-1.09575549792157;2459.50255132631;2538.85187206875;-79.349320742436;33.9639132038816;35.0596687016874;-1.09575549780574
0.0160334771421864;39.4343779418183;40.7066234623013;-1.27224552048299;2459.50255116928;2538.8518719075;-79.349320738217;39.4343779353218;40.706623455626;-1.27224552030422
0.01861594079243;45.785953877628;47.2631161345816;-1.47716225695364;2459.50255095759;2538.85187169012;-79.3493207325296;45.785953867457;47.2631161241333;-1.47716225667631
0.0216143540489684;53.1605589304921;54.8756432426161;-1.71508431212399;2459.50255067221;2538.85187139707;-79.3493207248625;53.1605589145699;54.8756432262623;-1.71508431169232
0.0250957126563343;61.7229693044605;63.7142970572609;-1.99132775280039;2459.5025502875;2538.85187100203;-79.3493207145266;61.7229692795366;63.7142970316637;-1.99132775212708
0.0291378031609211;71.6645012079628;73.976566096541;-2.31206488857829;2459.50254976888;2538.85187046947;-79.3493207005931;71.6645011689493;73.976566056476;-2.31206488752669
0.0338309409527882;83.2072855718768;85.8917477561507;-2.68446218427396;2459.50254906974;2538.85186975155;-79.3493206818096;83.2072855108103;85.8917476934405;-2.68446218263015
