H [A/m];M [A/m];M1 [A/m];dM/dH;dM1/dH;dM/dlogH [A/m];dM1/dlogH [A/m]
210.776924576259;210170.599678076;210170.599678076;991.645442177097;991.645442177097;209015.976572153;209015.976572153
224.143798425096;223418.246693288;223418.246693288;990.500224421263;990.500224421263;222014.482642692;222014.482642692
238.358361445079;237488.518815929;237488.518815929;989.17988858995;989.17988858995;235779.297418726;235779.297418726
253.474371675598;252429.599816406;252429.599816406;987.65364278331;987.65364278331;250344.886537615;250344.886537615
269.5489963382;268291.747391174;268291.747391174;985.884062555705;985.884062555705;265744.059567717;265744.059567717
286.643028037243;285127.153332051;285127.153332051;983.825291856883;983.825291856883;282006.660717481;282006.660717481
304.821114671372;302989.70796365;302989.70796365;981.42064112904;981.42064112904;299157.733790447;299157.733790447
324.152003925333;321934.630089193;321934.630089193;978.5993419633;978.5993419633;317214.937737416;317214.937737416
344.708803266762;342017.906841911;342017.906841911;975.272107043214;975.272107043214;336184.88087832;336184.88087832
366.569256431233;363295.462660081;363295.462660081;971.324976612254;971.324976612254;356057.874429839;356057.874429839
389.816037441198;385821.938450538;385821.938450538;966.610677349939;966.610677349939;376800.343992906;376800.343992906
414.537063270783;409648.9034428;409648.9034428;960.936328997885;960.936328997885;398343.72381299;398343.72381299
440.825826338883;434822.231327332;434822.231327332;954.045739544971;954.045739544971;420568.001500003;420568.001500003
468.781748088037;461378.230039415;461378.230039415;945.593642467216;945.593642467216;443277.040696716;443277.040696716
498.510554986266;489337.89176655;489337.89176655;935.107972338703;935.107972338703;466161.194262649;466161.194262649
530.124678373878;518698.284984234;518698.284984234;921.934719166603;921.934719166603;488740.346479907;488740.346479907
563.743679667424;549419.597439205;549419.597439205;905.15872506797;905.15872506797;510277.510352892;510277.510352892
599.494702528884;581405.652441849;581405.652441849;883.495630658976;883.495630658976;529650.950287472;529650.950287472
637.512953710125;614475.062290375;614475.062290375;855.163141811079;855.163141811079;545177.580440011;545177.580440011
677.942214391171;648320.451718733;648320.451718733;817.784282779715;817.784282779715;554410.487561976;554410.487561976
720.935383946074;682457.073270506;682457.073270506;768.487571313786;768.487571313786;554029.88228289;554029.88228289
766.65505819288;716175.217158827;716175.217158827;704.555105446783;704.555105446783;540150.735366394;540150.735366394
815.274144314567;748537.328952725;748537.328952725;625.001738907882;625.001738907882;509547.75788324;509547.75788324
866.976514776514;778482.960309645;778482.960309645;532.706990105169;532.706990105169;461844.449678466;461844.449678466
921.957702713571;805065.146861048;805065.146861048;435.1887726635;435.1887726635;401225.641091579;401225.641091579
980.425641416592;827719.661019775;827719.661019775;342.239671572581;342.239671572581;335540.549519751;335540.549519751
1042.60145071511;846393.032861556;846393.032861556;261.760088668364;261.760088668364;272911.448184951;272911.448184951
1108.72027323015;861454.474599429;861454.474599429;197.186149225756;197.186149225756;218624.28124678;218624.28124678
1179.03216365985;873486.855893306;873486.855893306;147.944505900932;147.944505900932;174431.330893962;174431.330893962
1253.80303446103;883099.76622419;883099.76622419;111.423874963527;111.423874963527;139703.592540676;139703.592540676
1333.31566150322;890827.938518246;890827.938518246;84.6248679769808;84.6248679769808;112831.66182635;112831.66182635
1417.87075349833;897100.762502174;897100.762502174;64.9521027018705;64.9521027018705;92093.686799202;92093.686799202
1507.78808925066;902248.362261359;902248.362261359;50.4130269834341;50.4130269834341;76012.1616286942;76012.1616286942
1603.40772702795;906519.898111066;906519.898111066;39.5601856344513;39.5601856344513;63431.1073289394;63431.1073289394
1705.09129062734;910102.604943117;910102.604943117;31.3665880874799;31.3665880874799;53482.8961646571;53482.8961646571
1813.223337;913137.675601319;913137.675601319;25.1084162548574;25.1084162548574;45527.1663084176;45527.1663084176
