Hanh [A/m];Manh [A/m]
0;0
0.0950459748654463;2438.67787609118
2.35937410219415;12984.189950053
4.62406907863664;23529.7020240149
6.88876405507913;34075.2140979767
9.15346910726421;44620.7261719386
11.419182713466;55166.2382459004
13.6864731903198;65711.7503198623
15.9537636671736;76257.2623938241
18.2210541440274;86802.774467786
20.4913188030175;97348.2865417478
22.7637254099615;107893.79861571
25.0361269717168;118439.310689672
27.3085285334721;128984.822763633
29.5813930781996;139530.334837595
31.8553125864756;150075.846911557
34.1276627051007;160621.358985519
36.4000128237259;171166.871059481
38.672362942351;181712.383133443
40.9472282022181;192257.895207404
43.2175794141671;202803.407281366
45.487930626116;213348.919355328
47.7582818380649;223894.43142929
50.0310137412732;234439.943503252
52.3071058188366;244985.455577214
54.5827083310414;255530.967651176
56.8583108432462;266076.479725137
59.1339133554509;276621.991799099
61.4217086305651;287167.503873061
63.7138162311898;297713.015947023
66.0059238318146;308258.528020985
68.2980314324393;318804.040094947
70.5911730405034;329349.552168908
72.8952253380913;339895.06424287
75.2011214362381;350440.576316832
77.507017534385;360986.088390794
79.8093326467528;371531.600464756
82.1074494226277;382077.112538718
84.4084118212844;392622.62461268
86.7093742199411;403168.136686641
89.0103366185979;413713.648760603
91.2949283827848;424259.160834565
93.5733459849262;434804.672908527
95.8517635870677;445350.184982489
98.1301811892091;455895.697056451
100.405146527094;466441.209130412
102.660378887381;476986.721204374
104.91153690984;487532.233278336
107.162694932299;498077.745352298
109.414373080611;508623.25742626
111.665077480005;519168.769500222
113.907035501843;529714.281574184
116.148993523681;540259.793648146
118.390951545519;550805.305722107
120.630875736991;561350.817796069
122.881963328007;571896.329870031
125.134818769081;582441.841943993
127.387674210155;592987.354017955
129.641619437582;603532.866091917
131.910516679337;614078.378165878
134.194647671487;624623.89023984
136.478778663637;635169.402313802
138.762909655787;645714.914387764
141.073782788723;656260.426461726
143.402282030264;666805.938535688
145.730781271804;677351.45060965
148.059280513344;687896.962683611
150.39816408448;698442.474757573
152.783211749128;708987.986831535
155.176748572204;719533.498905497
157.57028539528;730079.010979459
159.971212915519;740624.523053421
162.432210910651;751170.035127382
164.912416141796;761715.547201344
167.392621372942;772261.059275306
169.888267456487;782806.571349268
172.496733961445;793352.08342323
175.112863616498;803897.595497192
177.728993271551;814443.107571153
180.391656233542;824988.619645115
183.266474358132;835534.131719077
186.150533618185;846079.643793039
189.034592878237;856625.155867001
192.128920383618;867170.667940963
195.378235493324;877716.180014925
198.62755060303;888261.692088887
202.152169883979;898807.204162848
205.861510275398;909352.71623681
209.570850666816;919898.228310772
213.942302925889;930443.740384734
218.391488272752;940989.252458696
223.396131719849;951534.764532658
228.746767430138;962080.276606619
234.952816850236;972625.788680581
241.798264853682;983171.300754543
250.056732858399;993716.812828505
260.521211092898;1004262.32490247
274.988310872344;1014807.83697643
297.41630355791;1025353.34905039
343.70027853443;1035898.86112435
780;1046444.37319831
