H [A/m];M [A/m]
120.055810649414;266810.127015333
96.9179541698524;263930.682139422
88.4710797041143;261051.237263511
81.5666482058674;258171.7923876
75.6139798028627;255292.347511689
70.3790507070229;252412.902635778
65.7249951034041;249533.457759867
61.5561363749137;246654.012883957
57.7995711857627;243774.568008046
54.3958100484545;240895.123132135
51.2978651362298;238015.678256224
48.4655412394056;235136.233380313
45.8666363116532;232256.788504402
43.4721942242584;229377.343628491
41.2584072469803;226497.89875258
39.2061295445694;223618.453876669
37.2966558277325;220739.009000758
35.5147640551526;217859.564124848
33.8488743782068;214980.119248937
32.2854475683824;212100.674373026
30.8158945447593;209221.229497115
29.4317227833768;206341.784621204
28.1245707360124;203462.339745293
26.8862456734876;200582.894869382
25.7131582945494;197703.449993471
24.5969642578563;194824.00511756
23.5349990267321;191944.560241649
22.52237381477;189065.115365739
21.5543654792031;186185.670489828
20.6274142233841;183306.225613917
19.7380745270272;180426.780738006
18.8851768136519;177547.335862095
18.064333525301;174667.890986184
17.2384146194543;171788.446110273
16.4324775127549;168909.001234362
15.660144509591;166029.556358451
14.9148135388551;163150.11148254
14.1980000876067;160270.66660663
13.5030445178639;157391.221730719
12.832878253792;154511.776854808
12.181639295157;151632.331978897
11.5492143780956;148752.887102986
10.9358656092858;145873.442227075
10.3382968903945;142993.997351164
9.75574824951003;140114.552475253
9.18754029350735;137235.107599342
8.63451154338028;134355.662723431
8.09424764125048;131476.217847521
7.56619857315295;128596.77297161
7.04984914747183;125717.328095699
6.54471506254421;122837.883219788
6.05033872245221;119958.438343877
5.56628625082818;117078.993467966
5.09214325876532;114199.548592055
4.62751230468896;111320.103716144
4.17200964143888;108440.658840233
3.72526294895085;105561.213964322
3.28691002031226;102681.769088411
2.85659652560868;99802.3242125006
2.43397617153647;96922.8793365897
2.01931980177454;94043.4344606788
1.61257374251861;91163.9895847679
1.21265179224574;88284.544708857
0.819222609729458;85405.0998329461
0.431962861491005;82525.6549570352
0.0505600680257929;79646.2100811243
-0.32356735313589;76766.7652052134
