M [A/m];k [A/m]
0;11.6855031869404
2770.91517676543;11.6724434263401
5541.83035353087;11.6593836657399
8312.7455302963;11.6463239051396
11083.6607070617;11.6332641445394
13854.5758838272;11.6247645160394
16625.4910605926;11.6417692522468
19396.406237358;11.6608286286004
22167.3214141235;11.6798880049539
24938.2365908889;11.6989473813075
27709.1517676543;11.7180067576611
30480.0669444198;11.7370661340147
33250.9821211852;11.7561255103683
36021.8972979506;11.7751848867218
38792.8124747161;11.7942432732211
41563.7276514815;11.8089623123582
44334.6428282469;11.8112130772431
47105.5580050124;11.8089989275402
49876.4731817778;11.8067847778373
52647.3883585432;11.8045706281344
55418.3035353087;11.8023564784315
58189.2187120741;11.8001423287287
60960.1338888395;11.7979281790258
63731.049065605;11.7974972563323
66501.9642423704;11.8169005407507
69272.8794191358;11.8369813864097
72043.7945959013;11.8462679576446
74814.7097726667;11.8555545288795
77585.6249494321;11.8648411001144
80356.5401261976;11.8741276713493
83127.455302963;11.8834142425843
85898.3704797284;11.8945244907796
88669.2856564939;11.9145161323985
91440.2008332593;11.9160726868724
94211.1160100247;11.8993144319979
96982.0311867902;11.8825561771234
99752.9463635556;11.865797922249
102523.861540321;11.8490396673745
105294.776717086;11.8381800543383
108065.691893852;11.8509726969082
110836.607070617;11.8635043747555
113607.522247383;11.8757009050721
116378.437424148;11.8878974353887
119149.352600914;11.9000939657053
121920.267777679;11.9137522717064
124691.182954444;11.9288248521539
127462.09813121;11.9181982389112
130233.013307975;11.9006866909053
133003.928484741;11.8831751428995
135774.843661506;11.8656635948937
138545.758838272;11.8554290512913
141316.674015037;11.835665296005
144087.589191803;11.7979225638604
146858.504368568;11.7601798317159
149629.419545333;11.7224370995713
152400.334722099;11.6849538167921
155171.249898864;11.6490669179713
157942.16507563;11.6046598992292
160713.080252395;11.5579619345545
163483.995429161;11.5112639698798
166254.910605926;11.4746404797288
169025.825782691;11.4751674548994
171796.740959457;11.4759438151774
174567.656136222;11.4724570717016
177338.571312988;11.4337711884779
180109.486489753;11.357338628795
182880.401666519;11.2840357214913
185651.316843284;11.1915941632422
188422.232020049;11.0657134476484
191193.147196815;10.9619394722059
193964.06237358;10.8804973392392
196734.977550346;10.8041745675688
199505.892727111;10.7414853821573
202276.807903877;10.6734519735719
205047.723080642;10.5581539918395
207818.638257407;10.4635357035288
210589.553434173;10.3717894449468
213360.468610938;10.259421129491
216131.383787704;10.1087350102442
218902.298964469;9.90516213574415
221673.214141235;9.70985718971684
224444.129318;9.69499415220567
227215.044494765;9.66341906042417
229985.959671531;9.27547993712595
232756.874848296;8.92110567467284
235527.790025062;8.68510205089359
238298.705201827;8.46117383769324
241069.620378593;8.15374322642763
243840.535555358;7.74680147922731
246611.450732124;7.3469151909965
249382.365908889;6.89705000155591
252153.281085654;6.30551748256422
254924.19626242;5.82510611738545
257695.111439185;5.32144918405532
260466.026615951;4.72314688985361
263236.941792716;3.92133912043479
266007.856969482;3.13160011235282
268778.772146247;2.03833869462963
271549.687323012;0.976499247324853
274320.602499778;0
