H [A/m];M [A/m]
-4.20337188773497;94678.0135814064
-4.33486350428719;91279.4669297016
-4.46635512083941;87880.9202779968
-4.56776181554715;84482.3736262921
-4.66641816992281;81083.8269745873
-4.76483965268017;77685.2803228825
-4.8615833524639;74286.7336711777
-4.95832705224763;70888.187019473
-5.05300812917246;67489.6403677682
-5.14222763625387;64091.0937160634
-5.23144714333527;60692.5470643586
-5.3237450231609;57294.0004126539
-5.42958394937764;53895.4537609491
-5.53542287559438;50496.9071092443
-5.61683172343329;47098.3604575395
-5.68064834941242;43699.8138058348
-5.74446497539155;40301.26715413
-5.80828160137068;36902.7205024252
-5.89191123016465;33504.1738507204
-6.03109567625144;30105.6271990157
-6.16440218299565;26707.0805473109
-6.28280519382278;23308.5338956061
-6.4012082046499;19909.9872439014
-6.47306374141048;16511.4405921966
-6.54274032894032;13112.8939404918
-6.61241691647016;9714.34728878704
-6.682093504;6315.80063708227
-6.7988243410645;2105.266875
-6.915555178129;-2105.26688708226
-6.98671999267201;-5539.35137464008
-7.03880307598964;-8973.4358621979
-7.09088615930728;-12407.5203497557
-7.14296924262491;-15841.6048373135
-7.19505232594255;-19275.6893248713
-7.26806604136961;-22709.7738124292
-7.39879765865623;-26143.858299987
-7.53262994075861;-29577.9427875448
-7.68297792432481;-33012.0272751026
-7.81745382036016;-36446.1117626604
-7.91897171095759;-39880.1962502183
-8.02048960155501;-43314.2807377761
-8.09536812435373;-46748.3652253339
-8.1532398134179;-50182.4497128917
-8.21111150248207;-53616.5342004495
-8.26898319154625;-57050.6186880074
-8.32685488061042;-60484.7031755652
-8.41323259013246;-63918.787663123
-8.50470989464343;-67352.8721506808
-8.59618719915441;-70786.9566382386
-8.7004996113551;-74221.0411257964
-8.8073375249755;-77655.1256133543
-8.90117570056398;-81089.2101009121
-8.95724641727276;-84523.2945884699
-9.01331713398154;-87957.3790760277
-9.06938785069032;-91391.4635635855
-9.1254585673991;-94825.5480511434
-9.18140612853255;-98259.6325387012
-9.23711569850718;-101693.717026259
-9.2928252684818;-105127.801513817
-9.34853483845643;-108561.886001375
-9.40424440843105;-111995.970488932
-9.49959903772124;-115430.05497649
-9.65590587428546;-118864.139464048
-9.80348979413436;-122298.223951606
-9.94597176703915;-125732.308439164
-10.0372184453031;-129166.392926722
-10.1061652145264;-132600.477414279
-10.1751119837496;-136034.561901837
-10.2440587529729;-139468.646389395
-10.3111598403844;-142902.730876953
-10.3774683969432;-146336.815364511
-10.443776953502;-149770.899852068
-10.5100855100608;-153204.984339626
-10.6138363746691;-156639.068827184
-10.7490472143921;-160073.153314742
-10.9099455971897;-163507.2378023
-11.0930661431274;-166941.322289858
-11.1566064080356;-170375.406777415
-11.2201466729438;-173809.491264973
-11.2836869378521;-177243.575752531
-11.3472272027603;-180677.660240089
-11.5120699146791;-184111.744727647
-11.6652641220654;-187545.829215204
-11.7244333490244;-190979.913702762
-11.7836025759835;-194413.99819032
-11.8427718029425;-197848.082677878
-11.9019410299015;-201282.167165436
-11.9793383560495;-204716.251652994
-12.0637093673007;-208150.336140551
-12.1480803785518;-211584.420628109
-12.2566140405481;-215018.505115667
-12.3938720389181;-218452.589603225
-12.5501562307523;-221886.674090783
-12.7297846199914;-225320.75857834
-12.8375412151393;-228754.843065898
-12.9386056142217;-232188.927553456
-13.0334849248957;-235623.012041014
-13.1016390507719;-239057.096528572
-13.1697931766482;-242491.18101613
-13.2379473025244;-245925.265503687
-13.3401443504308;-249359.349991245
-13.6182848295422;-252793.434478803
-13.8133889509641;-256227.518966361
-13.9471585267264;-259661.603453919
-14.0679566800463;-263095.687941476
-14.223780330288;-266529.772429034
-14.4080308297476;-269963.856916592
-14.5765341925567;-273397.94140415
-14.709327839104;-276832.025891708
-14.7928640788495;-280266.110379266
-14.8764003185949;-283700.194866823
-14.9661760945914;-287134.279354381
-15.101183864694;-290568.363841939
-15.2352416467068;-294002.448329497
-15.358364027022;-297436.532817055
-15.4814864073371;-300870.617304612
-15.6232603520377;-304304.70179217
-15.7685452216177;-307738.786279728
-15.9952088984336;-311172.870767286
-16.2181452674494;-314606.955254844
-16.4169623079184;-318041.039742402
-16.5946120987826;-321475.124229959
-16.7552537832921;-324909.208717517
-16.9078069666837;-328343.293205075
-17.0356425875254;-331777.377692633
-17.1649963857339;-335211.462180191
-17.3145317370769;-338645.546667748
-17.430125;-342079.631155306
-17.569875;-342771.919155855
-15.4042204917929;-339373.37250415
-14.5635534735252;-335974.825852445
-13.9193318998044;-332576.279200741
-13.3330978153373;-329177.732549036
-12.5823062907597;-325779.185897331
-11.876131527851;-322380.639245626
-11.4080571414424;-318982.092593921
-10.7864280835701;-315583.545942217
-10.3106291856813;-312184.999290512
-9.83926008171398;-308786.452638807
-9.20652864015282;-305387.905987102
-8.87361549778906;-301989.359335398
-8.39442793618356;-298590.812683693
-8.0148566729508;-295192.266031988
-7.68283811719893;-291793.719380283
-7.0855278411502;-288395.172728578
-6.88429085518435;-284996.626076874
-6.35105636978024;-281598.079425169
-6.00349478430666;-278199.532773464
-5.70309040942055;-274800.986121759
-5.37228419674567;-271402.439470055
-5.11681283231497;-268003.89281835
-4.8980971510763;-264605.346166645
-4.59061533196256;-261206.79951494
-4.15936291484489;-257808.252863235
-3.7982048770002;-254409.706211531
-3.45187698266105;-251011.159559826
-3.29316146539895;-247612.612908121
-3.01087821420279;-244214.066256416
-2.71258543355169;-240815.519604712
-2.52946195270428;-237416.972953007
-2.33542399626117;-234018.426301302
-2.09373963373995;-230619.879649597
-1.84699811451248;-227221.332997893
-1.72322154622351;-223822.786346188
-1.59944497793453;-220424.239694483
-1.25332463000166;-217025.693042778
-0.999269788512089;-213627.146391073
-0.803389621222176;-210228.599739369
-0.559421005281165;-206830.053087664
-0.278234768276811;-203431.506435959
-0.0920036458755492;-200032.959784254
0.0607163054143244;-196634.41313255
0.198980657660334;-193235.866480845
0.336529365412822;-189837.31982914
0.483853084057545;-186438.773177435
