H [A/m];M [A/m]
-119.290510046762;-550805.305722107
-121.5454846001;-561350.817796069
-123.798596702911;-571896.329870031
-126.051708805723;-582441.841943993
-128.304820908534;-592987.354017955
-130.56011258405;-603532.866091917
-132.822026499156;-614078.378165878
-135.083940414262;-624623.89023984
-137.345854329368;-635169.402313802
-139.607768244474;-645714.914387764
-141.920516270847;-656260.426461726
-144.243928544403;-666805.938535688
-146.567340817959;-677351.45060965
-148.890753091515;-687896.962683611
-151.234934024263;-698442.474757573
-153.59808895484;-708987.986831535
-155.961243885417;-719533.498905497
-158.324398815993;-730079.010979459
-160.702335140896;-740624.523053421
-163.116294426851;-751170.035127382
-165.530253712805;-761715.547201344
-167.944212998759;-772261.059275306
-170.389053989515;-782806.571349268
-173.01114545446;-793352.08342323
-175.633236919404;-803897.595497192
-178.255328384349;-814443.107571153
-180.970486463168;-824988.619645115
-183.870699256356;-835534.131719077
-186.770912049544;-846079.643793039
-189.671124842733;-856625.155867001
-192.766651096715;-867170.667940963
-195.887158023883;-877716.180014925
-199.007664951052;-888261.692088887
-202.494580261476;-898807.204162848
-206.15234637801;-909352.71623681
-209.810112494543;-919898.228310772
-214.278065492485;-930443.740384734
-218.790381163727;-940989.252458696
-223.816742790036;-951534.764532658
-229.031374700006;-962080.276606619
-235.273195929391;-972625.788680581
-242.278379581986;-983171.300754543
-250.85831386067;-993716.812828505
-261.306935452819;-1004262.32490247
-276.083921355934;-1014807.83697643
-299.758508503496;-1025353.34905039
-349.059788196066;-1035898.86112435
-780;-1046444.37319831
-800;-1041064.52013756
-349.392693507043;-1030573.3500137
-296.00046883511;-1020082.17988985
-275.040263377338;-1009591.009766
-259.880790791103;-999099.839642143
-249.018609650433;-988608.66951829
-240.776915581927;-978117.499394437
-233.999899429855;-967626.329270583
-227.766369544442;-957135.15914673
-222.128778048607;-946643.989022877
-217.238066328971;-936152.818899024
-212.800482510385;-925661.648775171
-208.621401536249;-915170.478651318
-204.884524530275;-904679.308527464
-201.1476475243;-894188.138403611
-197.676298368738;-883696.968279758
-194.32264151597;-873205.798155905
-190.968984663202;-862714.628032052
-187.993866514994;-852223.457908199
-185.172563302336;-841732.287784345
-182.351260089678;-831241.117660492
-179.575244460013;-820749.947536639
-177.025767378081;-810258.777412786
-174.476290296148;-799767.607288933
-171.926813214216;-789276.437165079
-169.383981396222;-778785.267041226
-166.861713132713;-768294.096917373
-164.339444869204;-757802.92679352
-161.817176605696;-747311.756669667
-159.311896194943;-736820.586545814
-156.850397224899;-726329.41642196
-154.388898254854;-715838.246298107
-151.92739928481;-705347.076174254
-149.482601089977;-694855.906050401
-147.098070787243;-684364.735926548
-144.713540484508;-673873.565802695
-142.329010181773;-663382.395678841
-139.945651686222;-652891.225554988
-137.61144925906;-642400.055431135
-135.277246831897;-631908.885307282
-132.943044404735;-621417.715183429
-130.608841977573;-610926.545059575
-128.32597151327;-600435.374935722
-126.061214976286;-589944.204811869
-123.796458439301;-579453.034688016
-121.531701902317;-568961.864564163
-119.282314232898;-558470.69444031
-117.065039481908;-547979.524316456
-114.847764730917;-537488.354192603
-112.630489979927;-526997.18406875
-110.413215228937;-516506.013944897
-108.195457464208;-506014.843821044
-105.977589066414;-495523.67369719
-103.759720668621;-485032.503573337
-101.541852270827;-474541.333449484
-99.3235816244636;-464050.163325631
-97.1043935327227;-453558.993201778
-94.8852054409818;-443067.823077925
-92.6660173492409;-432576.652954071
-90.4468292575;-422085.482830218
-88.2301898863956;-411594.312706365
-86.0141930730665;-401103.142582512
-83.7981962597375;-390611.972458659
-81.5821994464084;-380120.802334805
-79.3603497845463;-369629.632210952
-77.1238891851951;-359138.462087099
-74.887428585844;-348647.291963246
-72.6509679864928;-338156.121839393
-70.4145073871416;-327664.95171554
-68.1463843239764;-317173.781591686
-65.8710578238304;-306682.611467833
-63.5957313236844;-296191.44134398
-61.3204048235385;-285700.271220127
-59.0353640120349;-275209.101096274
-56.7368908700187;-264717.930972421
-54.4384177280024;-254226.760848567
-52.1399445859862;-243735.590724714
-49.8418153170748;-233244.420600861
-47.5483279209435;-222753.250477008
-45.2548405248122;-212262.080353155
-42.9613531286809;-201770.910229302
-40.6678657325496;-191279.740105448
-38.3899992773424;-180788.569981595
-36.1185504846129;-170297.399857742
-33.8471016918835;-159806.229733889
-31.575652899154;-149315.059610036
-29.3073767112501;-138823.889486182
-27.046284992294;-128332.719362329
-24.7851932733378;-117841.549238476
-22.5241015543816;-107350.379114623
-20.2630098354255;-96859.2089907698
-18.007794485948;-86368.0388669166
-15.7533526497997;-75876.8687430634
-13.4989108136513;-65385.6986192102
-11.244468977503;-54894.5284953571
-8.99282107615913;-44403.3583715039
-6.74461580711935;-33912.1882476507
-4.49641053807957;-23421.0181237975
-2.24820526903978;-12929.8479999444
0;-2438.67787609118
0.520447519804056;0
1.04089503960811;2438.67787609118
3.29145287578867;12984.189950053
5.54201071196924;23529.7020240149
7.7925685481498;34075.2140979767
10.0431465358155;44620.7261719386
12.2947559807405;55166.2382459004
14.5463654256654;65711.7503198623
16.7979748705903;76257.2623938241
19.0495843155152;86802.774467786
21.3071421247128;97348.2865417478
23.5690447278015;107893.79861571
25.8309473308903;118439.310689672
28.0928499339791;128984.822763633
30.3556785030122;139530.334837595
32.6234850660759;150075.846911557
34.8912916291395;160621.358985519
37.1590981922031;171166.871059481
39.4269047552668;181712.383133443
41.7007777037888;192257.895207404
