M [A/m];k [A/m]
0;0.948891286293548
10570.1451838214;0.935231024432841
21140.2903676427;0.921144839349779
31710.4355514641;0.906974676345405
42280.5807352854;0.892812353184324
52850.7259191068;0.878670163761478
63420.8711029281;0.86329874134492
73991.0162867495;0.847581080319288
84561.1614705708;0.831863419293658
95131.3066543922;0.818494678972614
105701.451838214;0.807503035315477
116271.597022035;0.796978503418953
126841.742205856;0.786455020385963
137411.887389678;0.776301513452742
147982.032573499;0.769386206562331
158552.17775732;0.764520435025709
169122.322941142;0.75996626623819
179692.468124963;0.755412097450678
190262.613308784;0.753737253559459
200832.758492606;0.758081222579908
211402.903676427;0.763667428144592
221973.048860248;0.769253633709277
232543.19404407;0.77679233180508
243113.339227891;0.789164008341992
253683.484411713;0.802901529740885
264253.629595534;0.816725962359023
274823.774779355;0.830550394977158
285393.919963177;0.85222808362896
295964.065146998;0.872183949027413
306534.210330819;0.891468065918437
317104.355514641;0.910752182809457
327674.500698462;0.930906065169485
338244.645882283;0.94292601318287
348814.791066105;0.951823316820762
359384.936249926;0.960432057677221
369955.081433747;0.965995158235354
380525.226617569;0.962653775552297
391095.37180139;0.955413302794871
401665.516985211;0.947754065931795
412235.662169033;0.940094829068717
422805.807352854;0.920301535007681
433375.952536676;0.903279158087332
443946.097720497;0.887012947661935
454516.242904318;0.870746737236539
465086.38808814;0.851471787745339
475656.533271961;0.844198634199552
486226.678455782;0.842326282758911
496796.823639604;0.840967859420976
507366.968823425;0.840067599256375
517937.114007246;0.847332115483375
528507.259191068;0.863434687562191
539077.404374889;0.880558786512768
549647.549558711;0.897682885463339
560217.694742532;0.912991690621132
570787.839926353;0.916420568645972
581357.985110175;0.916863657213364
591928.130293996;0.917120918483054
602498.275477817;0.918361050222223
613068.420661639;0.912178622159278
623638.56584546;0.891368604793651
634208.711029281;0.869099631198907
644778.856213103;0.846830657604162
655349.001396924;0.846571439269602
665919.146580745;0.842074286849939
676489.291764567;0.836975436290565
687059.436948388;0.831876585731189
697629.582132209;0.836361596768538
708199.727316031;0.816513651228465
718769.872499852;0.786695340599133
729340.017683674;0.756242479474501
739910.162867495;0.732679664642302
750480.308051316;0.687160073422411
761050.453235138;0.622015630653541
771620.598418959;0.555614942513052
782190.74360278;0.503753405151632
792760.888786602;0.513647660664632
803331.033970423;0.520053002469902
813901.179154244;0.526028738467074
824471.324338066;0.576255155282557
835041.469521887;0.603038517406889
845611.614705708;0.619661508054688
856181.75988953;0.635852773996344
866751.905073351;0.637683110723573
877322.050257173;0.51373662943142
887892.195440994;0.38462756571455
898462.340624815;0.343643387765416
909032.485808637;0.292402233494348
919602.630992458;0.240707487003044
930172.776176279;0.333283005040758
940742.921360101;0.397418238814678
951313.066543922;0.420154489548081
961883.211727743;0.287148784423879
972453.356911565;0.319794167174708
983023.502095386;0.477875983082572
993593.647279207;0.797826460060748
1004163.79246303;0.785872517132284
1014733.93764685;1.09343890798362
1025304.08283067;2.3363811414654
1035874.22801449;5.35246158298085
1046444.37319831;0
