H [A/m];B [T]
348.4006523;1.200839766
301.5017694;1.188710071
267.4216345;1.176580377
236.5400978;1.164450682
212.0570612;1.152320987
189.7219255;1.140191293
169.6683184;1.128061598
151.5035873;1.115931904
135.0291511;1.103802209
120.5736522;1.091672514
107.6820614;1.07954282
96.05181988;1.067413125
85.24229874;1.055283431
74.68610219;1.043153736
65.75013549;1.031024041
57.6130932;1.018894347
49.66639359;1.006764652
42.30908505;0.994634958
35.37080645;0.982505263
28.52035433;0.970375568
22.06070513;0.958245874
16.39952754;0.946116179
11.02993981;0.933986485
5.998897039;0.92185679
1.558665373;0.909727095
-2.521330181;0.897597401
-6.397934365;0.885467706
-10.17848482;0.873338012
-13.7067294;0.861208317
-16.80085714;0.849078622
-19.67225219;0.836948928
-22.4551587;0.824819233
-25.1196945;0.812689539
-27.64328355;0.800559844
-29.96895109;0.788430149
-32.02312828;0.776300455
-33.86121476;0.76417076
-35.48385409;0.752041066
-36.85406824;0.739911371
-38.05047644;0.727781676
-39.10856276;0.715651982
-40.09059176;0.703522287
-40.98430638;0.691392592
-41.72959133;0.679262898
-42.4739745;0.667133203
-43.20919008;0.655003509
-43.88761021;0.642873814
-44.42180247;0.630744119
-44.93926144;0.618614425
-45.45795746;0.60648473
-45.9614548;0.594355036
-46.40978938;0.582225341
-46.81959412;0.570095646
-47.23124698;0.557965952
-47.61622286;0.545836257
-47.95466182;0.533706563
-48.3145127;0.521576868
-48.66875458;0.509447173
-49.00554541;0.497317479
-49.32713625;0.485187784
-49.62295441;0.47305809
-49.91159106;0.460928395
-50.21247308;0.4487987
-50.4885334;0.436669006
-50.75720221;0.424539311
-51.02354366;0.412409617
-51.25573171;0.400279922
-51.47006523;0.388150227
-51.68646994;0.376020533
-51.91519159;0.363890838
-52.14267054;0.351761144
-52.37786526;0.339631449
-52.62177849;0.327501754
-52.87752485;0.31537206
-53.12881425;0.303242365
-53.37474193;0.291112671
-53.62464271;0.278982976
-53.87266819;0.266853281
-54.12750824;0.254723587
-54.39183189;0.242593892
-54.64807906;0.230464197
-54.88371247;0.218334503
-55.11152198;0.206204808
-55.33595976;0.194075114
-55.56812739;0.181945419
-55.81552006;0.169815724
-56.07219436;0.15768603
-56.33062788;0.145556335
-56.59078485;0.133426641
-56.85526141;0.121296946
-57.12127193;0.109167251
-57.38944091;9.70E-02
-57.66282422;8.49E-02
-57.93785003;7.28E-02
-58.21952997;6.06E-02
-58.51858664;4.85E-02
-58.83303151;3.64E-02
-59.14704596;2.43E-02
-59.47568265;1.21E-02
-59.81721903;0.00E+00
-60.14118682;-1.21E-02
-60.46935031;-2.43E-02
-60.82529235;-3.64E-02
-61.18024462;-4.85E-02
-61.55282416;-6.06E-02
-61.93355224;-7.28E-02
-62.31579;-8.49E-02
-62.70565205;-9.70E-02
-63.08674196;-0.109167251
-63.47821475;-0.121296946
-63.89987293;-0.133426641
-64.33193338;-0.145556335
-64.76844404;-0.15768603
-65.22300597;-0.169815724
-65.68253213;-0.181945419
-66.14568231;-0.194075114
-66.60040918;-0.206204808
-67.06613656;-0.218334503
-67.56956746;-0.230464197
-68.10140516;-0.242593892
-68.65594052;-0.254723587
-69.22072206;-0.266853281
-69.8002677;-0.278982976
-70.40872281;-0.291112671
-71.04590134;-0.303242365
-71.69232248;-0.31537206
-72.35859708;-0.327501754
-73.06555908;-0.339631449
-73.79630746;-0.351761144
-74.55746628;-0.363890838
-75.34902467;-0.376020533
-76.18539711;-0.388150227
-77.06938391;-0.400279922
-77.99363026;-0.412409617
-78.95549442;-0.424539311
-79.95764598;-0.436669006
-80.98194246;-0.4487987
-82.02178501;-0.460928395
-83.07714421;-0.47305809
-84.1097052;-0.485187784
-85.1274707;-0.497317479
-86.14145855;-0.509447173
-87.16550897;-0.521576868
-88.21262561;-0.533706563
-89.27765857;-0.545836257
-90.39276673;-0.557965952
-91.55512657;-0.570095646
-92.75966671;-0.582225341
-94.00260799;-0.594355036
-95.31876015;-0.60648473
-96.69545878;-0.618614425
-98.12455557;-0.630744119
-99.59989585;-0.642873814
-101.1446667;-0.655003509
-102.7518713;-0.667133203
-104.3996794;-0.679262898
-106.105776;-0.691392592
-107.8538411;-0.703522287
-109.6777207;-0.715651982
-111.6160378;-0.727781676
-113.6529596;-0.739911371
-115.8019772;-0.752041066
-117.9803106;-0.76417076
-120.2220328;-0.776300455
-122.5494788;-0.788430149
-124.9987742;-0.800559844
-127.6139691;-0.812689539
-130.4127957;-0.824819233
-133.3987303;-0.836948928
-136.5960708;-0.849078622
-139.8991727;-0.861208317
-143.2774951;-0.873338012
-146.869017;-0.885467706
-150.6894873;-0.897597401
-154.6431827;-0.909727095
-158.6658429;-0.92185679
-162.8864953;-0.933986485
-167.2994479;-0.946116179
-171.8575987;-0.958245874
-176.8232536;-0.970375568
-182.2441489;-0.982505263
-188.0438834;-0.994634958
-194.1475254;-1.006764652
-200.341313;-1.018894347
-206.7225418;-1.031024041
-213.3848269;-1.043153736
-219.9775932;-1.055283431
-227.1096747;-1.067413125
-235.0171685;-1.07954282
-244.0420282;-1.091672514
-253.3763626;-1.103802209
-263.0853164;-1.115931904
-273.1359049;-1.128061598
-284.3955029;-1.140191293
-295.0296695;-1.152320987
-307.1725573;-1.164450682
-319.9592646;-1.176580377
-332.9689325;-1.188710071
-348.4006523;-1.200839766
-301.5017694;-1.188710071
-267.4216345;-1.176580377
-236.5400978;-1.164450682
-212.0570612;-1.152320987
-189.7219255;-1.140191293
-169.6683184;-1.128061598
-151.5035873;-1.115931904
-135.0291511;-1.103802209
-120.5736522;-1.091672514
-107.6820614;-1.07954282
-96.05181988;-1.067413125
-85.24229874;-1.055283431
-74.68610219;-1.043153736
-65.75013549;-1.031024041
-57.6130932;-1.018894347
-49.66639359;-1.006764652
-42.30908505;-0.994634958
-35.37080645;-0.982505263
-28.52035433;-0.970375568
-22.06070513;-0.958245874
-16.39952754;-0.946116179
-11.02993981;-0.933986485
-5.998897039;-0.92185679
-1.558665373;-0.909727095
2.521330181;-0.897597401
6.397934365;-0.885467706
10.17848482;-0.873338012
13.7067294;-0.861208317
16.80085714;-0.849078622
19.67225219;-0.836948928
22.4551587;-0.824819233
25.1196945;-0.812689539
27.64328355;-0.800559844
29.96895109;-0.788430149
32.02312828;-0.776300455
33.86121476;-0.76417076
35.48385409;-0.752041066
36.85406824;-0.739911371
38.05047644;-0.727781676
39.10856276;-0.715651982
40.09059176;-0.703522287
40.98430638;-0.691392592
41.72959133;-0.679262898
42.4739745;-0.667133203
43.20919008;-0.655003509
43.88761021;-0.642873814
44.42180247;-0.630744119
44.93926144;-0.618614425
45.45795746;-0.60648473
45.9614548;-0.594355036
46.40978938;-0.582225341
46.81959412;-0.570095646
47.23124698;-0.557965952
47.61622286;-0.545836257
47.95466182;-0.533706563
48.3145127;-0.521576868
48.66875458;-0.509447173
49.00554541;-0.497317479
49.32713625;-0.485187784
49.62295441;-0.47305809
49.91159106;-0.460928395
50.21247308;-0.4487987
50.4885334;-0.436669006
50.75720221;-0.424539311
51.02354366;-0.412409617
51.25573171;-0.400279922
51.47006523;-0.388150227
51.68646994;-0.376020533
51.91519159;-0.363890838
52.14267054;-0.351761144
52.37786526;-0.339631449
52.62177849;-0.327501754
52.87752485;-0.31537206
53.12881425;-0.303242365
53.37474193;-0.291112671
53.62464271;-0.278982976
53.87266819;-0.266853281
54.12750824;-0.254723587
54.39183189;-0.242593892
54.64807906;-0.230464197
54.88371247;-0.218334503
55.11152198;-0.206204808
55.33595976;-0.194075114
55.56812739;-0.181945419
55.81552006;-0.169815724
56.07219436;-0.15768603
56.33062788;-0.145556335
56.59078485;-0.133426641
56.85526141;-0.121296946
57.12127193;-0.109167251
57.38944091;-9.70E-02
57.66282422;-8.49E-02
57.93785003;-7.28E-02
58.21952997;-6.06E-02
58.51858664;-4.85E-02
58.83303151;-3.64E-02
59.14704596;-2.43E-02
59.47568265;-1.21E-02
59.81721903;0.00E+00
60.14118682;1.21E-02
60.46935031;2.43E-02
60.82529235;3.64E-02
61.18024462;4.85E-02
61.55282416;6.06E-02
61.93355224;7.28E-02
62.31579;8.49E-02
62.70565205;9.70E-02
63.08674196;0.109167251
63.47821475;0.121296946
63.89987293;0.133426641
64.33193338;0.145556335
64.76844404;0.15768603
65.22300597;0.169815724
65.68253213;0.181945419
66.14568231;0.194075114
66.60040918;0.206204808
67.06613656;0.218334503
67.56956746;0.230464197
68.10140516;0.242593892
68.65594052;0.254723587
69.22072206;0.266853281
69.8002677;0.278982976
70.40872281;0.291112671
71.04590134;0.303242365
71.69232248;0.31537206
72.35859708;0.327501754
73.06555908;0.339631449
73.79630746;0.351761144
74.55746628;0.363890838
75.34902467;0.376020533
76.18539711;0.388150227
77.06938391;0.400279922
77.99363026;0.412409617
78.95549442;0.424539311
79.95764598;0.436669006
80.98194246;0.4487987
82.02178501;0.460928395
83.07714421;0.47305809
84.1097052;0.485187784
85.1274707;0.497317479
86.14145855;0.509447173
87.16550897;0.521576868
88.21262561;0.533706563
89.27765857;0.545836257
90.39276673;0.557965952
91.55512657;0.570095646
92.75966671;0.582225341
94.00260799;0.594355036
95.31876015;0.60648473
96.69545878;0.618614425
98.12455557;0.630744119
99.59989585;0.642873814
101.1446667;0.655003509
102.7518713;0.667133203
104.3996794;0.679262898
106.105776;0.691392592
107.8538411;0.703522287
109.6777207;0.715651982
111.6160378;0.727781676
113.6529596;0.739911371
115.8019772;0.752041066
117.9803106;0.76417076
120.2220328;0.776300455
122.5494788;0.788430149
124.9987742;0.800559844
127.6139691;0.812689539
130.4127957;0.824819233
133.3987303;0.836948928
136.5960708;0.849078622
139.8991727;0.861208317
143.2774951;0.873338012
146.869017;0.885467706
150.6894873;0.897597401
154.6431827;0.909727095
158.6658429;0.92185679
162.8864953;0.933986485
167.2994479;0.946116179
171.8575987;0.958245874
176.8232536;0.970375568
182.2441489;0.982505263
188.0438834;0.994634958
194.1475254;1.006764652
200.341313;1.018894347
206.7225418;1.031024041
213.3848269;1.043153736
219.9775932;1.055283431
227.1096747;1.067413125
235.0171685;1.07954282
244.0420282;1.091672514
253.3763626;1.103802209
263.0853164;1.115931904
273.1359049;1.128061598
284.3955029;1.140191293
295.0296695;1.152320987
307.1725573;1.164450682
319.9592646;1.176580377
332.9689325;1.188710071
