H [A/m];B [T]
116.7335246;0.691428671
118.9101656;0.70553946
121.1192324;0.719650249
123.390967;0.733761038
125.8921276;0.747871828
128.7104835;0.761982617
131.6843991;0.776093406
134.6973462;0.790204195
137.7861003;0.804314984
140.9989185;0.818425774
144.466049;0.832536563
148.1578295;0.846647352
151.8347999;0.860758141
155.3157184;0.87486893
158.8695709;0.88897972
162.9473937;0.903090509
167.3259134;0.917201298
171.7130309;0.931312087
176.3767615;0.945422876
181.6081156;0.959533666
187.2922601;0.973644455
193.639691;0.987755244
200.7740308;1.001866033
208.2859547;1.015976822
215.8861202;1.030087612
223.0905453;1.044198401
230.5092632;1.05830919
238.5457272;1.072419979
247.1391316;1.086530768
256.7570637;1.100641558
267.1283338;1.114752347
277.9988962;1.128863136
289.2993881;1.142973925
301.1580404;1.157084714
313.9998295;1.171195504
328.2951677;1.185306293
344.2882717;1.199417082
361.2431015;1.213527871
378.8808723;1.22763866
397.3681058;1.24174945
417.22854;1.255860239
437.9336728;1.269971028
461.7759536;1.284081817
487.1851319;1.298192606
514.1161584;1.312303396
541.1254974;1.326414185
569.5405933;1.340524974
603.8460779;1.354635763
641.2617074;1.368746552
681.6372496;1.382857342
