M [A/m];k [A/m]
0;322.752593965595
16191.067267115;322.69792485751
32382.13453423;322.643255749425
48573.201801345;322.58858664134
64764.26906846;322.533917533255
80955.336335575;322.47924842517
97146.4036026899;322.424579317085
113337.470869805;322.369910209
129528.53813692;322.315241100915
145719.605404035;322.440577323091
161910.67267115;322.820589045457
178101.739938265;323.20523824042
194292.80720538;323.589887435383
210483.874472495;323.977861036467
226674.94173961;324.379212203153
242866.009006725;324.780798013843
259057.07627384;325.182383824533
275248.143540955;325.491060789388
291439.21080807;325.604639204887
307630.278075185;326.028112896991
323821.3453423;327.378436307072
340012.412609415;328.743846227377
356203.47987653;330.109256147682
372394.547143645;331.474666067987
388585.61441076;332.637715761228
404776.681677875;334.07452950889
420967.74894499;335.51558829617
437158.816212105;336.95664708345
453349.88347922;338.504667475262
469540.950746335;338.695440781036
485732.01801345;338.866510286924
501923.085280565;339.037579792813
518114.15254768;341.353653293681
534305.219814795;345.282798862574
550496.28708191;349.095561478407
566687.354349025;350.341429756732
582878.42161614;351.356801785609
599069.488883255;351.543859718954
615260.55615037;352.76540682415
631451.623417485;352.820711698891
647642.6906846;356.707962371834
663833.757951715;358.958575685438
680024.82521883;358.797287815822
696215.892485945;359.566620478712
712406.95975306;363.112494294379
728598.027020175;367.207637512288
744789.09428729;367.416351134838
760980.161554405;371.070768164031
777171.22882152;371.62044714617
793362.296088635;379.014822452934
809553.36335575;382.786571624975
825744.430622865;387.246303013366
841935.49788998;394.200621960348
858126.565157095;400.681626711777
874317.632424209;407.076339005369
890508.699691324;412.829447662607
906699.766958439;419.256522553433
922890.834225554;421.876085482357
939081.901492669;427.553671992082
955272.968759784;428.497616887497
971464.036026899;434.619603313191
987655.103294014;448.82271654367
1003846.17056113;457.85322857855
1020037.23782824;468.547318836049
1036228.30509536;484.344205402811
1052419.37236247;494.319977517649
1068610.43962959;501.562952606666
1084801.5068967;511.198605986292
1100992.57416382;520.107535362793
1117183.64143093;524.792275696107
1133374.70869805;530.917517112885
1149565.77596516;532.963435032609
1165756.84323228;529.666355167361
1181947.91049939;526.250404431279
1198138.97776651;532.540795753463
1214330.04503362;515.420898167727
1230521.11230074;489.002213777844
1246712.17956785;458.228935976322
1262903.24683497;466.74537799439
1279094.31410208;420.879132827723
1295285.3813692;412.195197809762
1311476.44863631;406.568837891892
1327667.51590343;355.580067243854
1343858.58317054;354.872867562475
1360049.65043766;311.14278613119
1376240.71770477;250.670964921992
1392431.78497189;239.460792138695
1408622.852239;256.872795447332
1424813.91950612;176.964676705348
1441004.98677323;170.028758977353
1457196.05404035;132.650889550628
1473387.12130746;125.129264264472
1489578.18857458;131.230924196559
1505769.25584169;82.1745591632692
1521960.32310881;25.5337110219996
1538151.39037592;35.9279980343236
1554342.45764304;41.8783887492236
1570533.52491015;44.6162679177489
1586724.59217727;-19.6808877584851
1602915.65944438;0
