Hanh [A/m];Manh [A/m]
0;0
0.0072011806633725;0
0.0795310565439991;321.82429033
3.40070778718103;15099.0561241251
6.72188451781807;29876.2879579202
10.0430612484551;44653.5197917153
13.3642379790921;59430.7516255104
16.5607221053141;74207.9834593055
19.732276925839;88985.2152931006
22.9038317463641;103762.447126896
26.0753865668891;118539.678960691
29.2469413874141;133316.910794486
32.3535424490115;148094.142628281
35.3988554874643;162871.374462076
38.5376927961358;177648.606295871
41.6765301048073;192425.838129666
44.8153674134789;207203.069963461
48.033906593274;221980.301797257
51.8842350633654;236757.533631052
55.7345635334568;251534.765464847
59.7075074799937;266311.997298642
63.6861724970122;281089.229132437
67.6406371895812;295866.460966232
71.3800251636987;310643.692800027
75.1194131378162;325420.924633822
78.8041259762158;340198.156467617
82.3401716757814;354975.388301413
87.3465258456451;369752.620135208
92.4706495639;384529.851969003
97.594773282155;399307.083802798
103.601759996888;414084.315636593
109.548713022832;428861.547470388
115.483505989154;443638.779304183
121.411209206657;458416.011137978
127.906450544496;473193.242971773
134.879629536804;487970.474805569
141.978994842699;502747.706639364
149.175532719609;517524.938473159
156.268194962871;532302.170306954
164.022700749943;547079.402140749
173.144092035266;561856.633974544
182.75016857103;576633.865808339
192.622571615551;591411.097642134
203.021736960557;606188.329475929
213.428524417623;620965.561309724
223.810412242749;635742.79314352
234.917997224398;650520.024977315
245.906780794695;665297.25681111
259.47123298652;680074.488644905
274.860863090471;694851.7204787
288.100217823021;709628.952312495
304.445352285819;724406.18414629
318.075045611863;739183.415980085
333.883342458252;753960.647813881
350.481260962882;768737.879647676
368.243101741902;783515.111481471
384.619627646667;798292.343315266
406.233289839229;813069.575149061
426.100544446719;827846.806982856
451.721218272471;842624.038816651
474.636783431199;857401.270650446
498.538029073547;872178.502484241
520.508483589157;886955.734318036
544.971002530523;901732.966151832
573.178174230155;916510.197985627
599.507055448588;931287.429819422
627.735008172366;946064.661653217
657.283894865055;960841.893487012
690.190663195358;975619.125320807
725.133131678665;990396.357154602
763.042417752444;1005173.5889884
802.630541745157;1019950.82082219
846.130480774426;1034728.05265599
885.141078008902;1049505.28448978
935.302939137934;1064282.51632358
995.523421209135;1079059.74815737
1054.12368373521;1093836.97999117
1127.29485891657;1108614.21182496
1198.4098121236;1123391.44365876
1287.96569864798;1138168.67549255
1397.4419037238;1152945.90732635
1520.90229004969;1167723.13916014
1635.65801502151;1182500.37099394
1778.38921295726;1197277.60282773
1927.15149229172;1212054.83466153
2101.57459813237;1226832.06649532
2317.26417869774;1241609.29832912
2536.54966999359;1256386.53016291
2803.36541767042;1271163.76199671
3134.04332003108;1285940.9938305
3529.15720509333;1300718.2256643
3898.54721636408;1315495.45749809
4293.37781383718;1330272.68933189
4755.42032934423;1345049.92116568
5227.07731438769;1359827.15299948
5770.66141648791;1374604.38483328
6361.84145967676;1389381.61666707
6944.53408465711;1404158.84850087
7617.28269410206;1418936.08033466
8274.44564446153;1433713.31216846
9072.21287873136;1448490.54400225
9917.6066519;1463267.77583605
