M [A/m];k [A/m]
0;337.187867472729
11771.9724022259;337.094218241402
23543.9448044519;336.963706749236
35315.9172066778;336.832128248963
47087.8896089037;336.700549748691
58859.8620111296;336.568971248418
70631.8344133556;336.502821923772
82403.8068155815;336.768576348053
94175.7792178074;337.092393250297
105947.751620033;337.417548126668
117719.724022259;337.742703003039
129491.696424485;338.06785787941
141263.668826711;338.404352076991
153035.641228937;338.852216812735
164807.613631163;339.302949083707
176579.586033389;339.75368135468
188351.558435615;340.204413625652
200123.530837841;340.655312165314
211895.503240067;340.991765899172
223667.475642293;341.261927072184
235439.448044519;341.530564392749
247211.420446745;341.799201713315
258983.39284897;342.318404516961
270755.365251196;342.819193072887
282527.337653422;343.236962073209
294299.310055648;343.680498400072
306071.282457874;344.353103122302
317843.2548601;345.030705170066
329615.227262326;345.728243085224
341387.199664552;346.398318440731
353159.172066778;347.038970295552
364931.144469004;347.679026124853
376703.11687123;348.230210539007
388475.089273456;349.037439645702
400247.061675682;349.849764532187
412019.034077907;350.604679192672
423791.006480133;351.183104786795
435562.978882359;351.758222088685
447334.951284585;352.455690610755
459106.923686811;353.162000326647
470878.896089037;353.868428716887
482650.868491263;355.333341134087
494422.840893489;356.814988497801
506194.813295715;357.499579112932
517966.785697941;358.060333605896
529738.758100167;358.868062431845
541510.730502393;360.341182700371
553282.702904619;361.802173571161
565054.675306845;361.442909364362
576826.64770907;363.06615538561
588598.620111296;364.451352230274
600370.592513522;364.673763621245
612142.564915748;364.299868037739
623914.537317974;365.577640459994
635686.5097202;366.971383563177
647458.482122426;368.573492353628
659230.454524652;369.489876627221
671002.426926878;370.000751991782
682774.399329104;369.903401765699
694546.37173133;370.191700250156
706318.344133556;371.324125368957
718090.316535782;372.940700204211
729862.288938008;374.429472265651
741634.261340233;374.402328169567
753406.233742459;374.645038087819
765178.206144685;376.051516927576
776950.178546911;378.846162889664
788722.150949137;380.810026231046
800494.123351363;382.644347324505
812266.095753589;382.677125216833
824038.068155815;383.375198634433
835810.040558041;385.422649936225
847582.012960267;385.963384307722
859353.985362493;386.965142929203
871125.957764719;386.280555417434
882897.930166945;385.019386497388
894669.902569171;382.98522819893
906441.874971397;381.487080740443
918213.847373622;378.658936197889
929985.819775848;376.436185034335
941757.792178074;371.905282682819
953529.7645803;373.796566351271
965301.736982526;370.779432453646
977073.709384752;367.78076632948
988845.681786978;369.67130280824
1000617.6541892;364.967071200036
1012389.62659143;358.455667949748
1024161.59899366;351.469249210001
1035933.57139588;345.010439982348
1047705.54379811;331.566021861247
1059477.51620033;318.050006679509
1071249.48860256;301.823172367747
1083021.46100479;286.109453189847
1094793.43340701;260.36438722278
1106565.40580924;235.83880823257
1118337.37821146;191.960377592571
1130109.35061369;152.328655516158
1141881.32301591;102.75728453961
1153653.29541814;62.1240882488229
1165425.26782037;0
