Hanh [A/m];Manh [A/m]
0;0
0.059682971;322.6918214
3.108332378;16510.49958
6.156981786;32698.30733
9.205631193;48886.11508
12.2542806;65073.92284
15.30293001;81261.73059
18.35157942;97449.53834
21.40022882;113637.3461
24.44887823;129825.1539
27.31420004;146012.9616
29.92361958;162200.7694
32.53303913;178388.5771
35.14245868;194576.3849
37.75526121;210764.1926
40.38161396;226952.0004
43.00796671;243139.8081
45.63431947;259327.6159
48.35514086;275515.4236
51.27269059;291703.2314
54.50851067;307891.0391
58.68088747;324078.8469
62.85326426;340266.6547
67.02564105;356454.4624
71.19801784;372642.2702
75.96259018;388830.0779
81.08674094;405017.8857
86.2108917;421205.6934
91.33504247;437393.5012
96.65057542;453581.3089
104.188032;469769.1167
111.7254885;485956.9244
119.262945;502144.7322
127.749029;518332.5399
135.6241704;534520.3477
143.639173;550708.1554
153.2617763;566895.9632
162.6853686;583083.771
173.3823394;599271.5787
186.0661968;615459.3865
199.9439293;631647.1942
211.2242641;647835.002
225.3195816;664022.8097
241.8345611;680210.6175
257.3801919;696398.4252
270.739871;712586.233
287.7838161;728774.0407
308.761973;744961.8485
324.8135879;761149.6562
344.8952121;777337.464
362.1141458;793525.2718
383.8527463;809713.0795
406.3241244;825900.8873
429.9490857;842088.695
455.7867381;858276.5028
479.0392424;874464.3105
504.2565968;890652.1183
530.1600607;906839.926
560.4194238;923027.7338
588.8664559;939215.5415
623.5476743;955403.3493
667.365073;971591.157
711.5275711;987778.9648
749.8225898;1003966.773
792.6826326;1020154.58
840.9803614;1036342.388
894.905738;1052530.196
949.886381;1068718.004
1009.184706;1084905.811
1076.797565;1101093.619
1158.778312;1117281.427
1242.54611;1133469.235
1345.163984;1149657.042
1448.720458;1165844.85
1577.099909;1182032.658
1712.263401;1198220.466
1900.696238;1214408.273
2106.82621;1230596.081
2354.032478;1246783.889
2649.146201;1262971.697
2976.78098;1279159.504
3335.740286;1295347.312
3723.708179;1311535.12
4187.688258;1327722.928
4693.397071;1343910.735
5279.171698;1360098.543
5898.069874;1376286.351
6520.077589;1392474.159
7125.379999;1408661.966
7836.61413;1424849.774
8511.105517;1441037.582
9299.975153;1457225.39
10308.13977;1473413.197
11255.96575;1489601.005
12312.55285;1505788.813
13338.39605;1521976.621
14492.60817;1538164.428
15672.02544;1554352.236
16933.20931;1570540.044
18147.7471;1586727.852
