H [A/m];M [A/m]
-950.644740516519;-928247.576960001
-972.753266652306;-939427.321765012
-1004.45316559919;-950607.066570023
-1038.21970916435;-961786.811375034
-1068.92839569957;-972966.556180045
-1099.73253778572;-984146.300985056
-1129.38740745803;-995326.045790067
-1154.38381710876;-1006505.79059508
-1189.5872239727;-1017685.53540009
-1227.08246499598;-1028865.2802051
-1263.92441049276;-1040045.02501011
-1301.87501377754;-1051224.76981512
-1349.50737593095;-1062404.51462013
-1394.83435642546;-1073584.25942514
-1443.05121931223;-1084764.00423015
-1491.20116716216;-1095943.74903517
-1523.26086247;-1107123.49384018
-1524.87678351;-1104217.30816546
-1374.9055130306;-1093066.9187713
-1211.18579033059;-1081916.52937715
-1117.33811393824;-1070766.13998299
-991.582938685611;-1059615.75058884
-895.723548552732;-1048465.36119468
-801.718870962223;-1037314.97180053
-719.377786534785;-1026164.58240637
-639.812226264471;-1015014.19301221
-578.805689593035;-1003863.80361806
-516.884393613632;-992713.414223904
-468.992715973052;-981563.024829749
-415.016634468335;-970412.635435594
-378.060820245117;-959262.246041439
-342.743680895606;-948111.856647284
-309.517323769072;-936961.467253128
-279.589069814855;-925811.077858973
-252.048748344316;-914660.688464818
-226.996059310494;-903510.299070663
-202.565911817739;-892359.909676508
-181.770382081538;-881209.520282352
-158.539197204724;-870059.130888197
-141.781470798109;-858908.741494042
-120.221835600577;-847758.352099887
-95.6348638107461;-836607.962705731
-80.0766175847499;-825457.573311576
-62.5040087144217;-814307.183917421
-45.9263032596616;-803156.794523266
-31.2376067838446;-792006.405129111
-19.8999832768919;-780856.015734955
-3.31534610754233;-769705.6263408
5.43424031641463;-758555.236946645
18.7182728921163;-747404.84755249
32.013324052873;-736254.458158334
43.9761273820906;-725104.068764179
57.3550316304684;-713953.679370024
67.0464143885086;-702803.289975869
80.204355465193;-691652.900581714
89.9932577900099;-680502.511187558
100.470751082298;-669352.121793403
109.321025874557;-658201.732399248
119.042691036869;-647051.343005093
126.264071383821;-635900.953610937
136.720800692415;-624750.564216782
145.16743212156;-613600.174822627
153.165914501766;-602449.785428472
161.044568926291;-591299.396034317
168.541007618377;-580149.006640161
175.48834894044;-568998.617246006
183.50376403096;-557848.227851851
188.984752081082;-546697.838457696
195.105658148898;-535547.44906354
201.878274679433;-524397.059669385
207.710245664333;-513246.67027523
212.689067902406;-502096.280881075
217.056672350286;-490945.89148692
222.137150501778;-479795.502092764
226.945673731222;-468645.112698609
230.717398504779;-457494.723304454
