H [A/m];M [A/m]
23393.82094396;1635944.14018687
21651.7337786185;1619422.65282153
20164.3276763851;1602901.16545618
18730.4201181103;1586379.67809083
17503.5486920466;1569858.19072548
16156.8726127965;1553336.70336014
14810.2722066884;1536815.21599479
13574.5819273424;1520293.72862944
12461.3870178502;1503772.24126409
11299.2170041266;1487250.75389874
10249.7156494782;1470729.2665334
9252.89654604448;1454207.77916805
8360.56473788578;1437686.2918027
7485.92077195878;1421164.80443735
6688.11975622136;1404643.317072
5941.55858374601;1388121.82970666
5233.41821872228;1371600.34234131
4675.34891904311;1355078.85497596
4002.65865813079;1338557.36761061
3436.94671078132;1322035.88024526
2995.71389290937;1305514.39287992
2633.7930033462;1288992.90551457
2284.17332972342;1272471.41814922
1982.23224940071;1255949.93078387
1717.02964823723;1239428.44341852
1490.09697460412;1222906.95605318
1299.29712682329;1206385.46868783
1124.26546507925;1189863.98132248
992.173952794742;1173342.49395713
871.542024861897;1156821.00659179
762.994296157139;1140299.51922644
677.697875640811;1123778.03186109
586.70451641798;1107256.54449574
534.38437689332;1090735.05713039
481.289374679546;1074213.56976505
423.345443839887;1057692.0823997
370.84753265528;1041170.59503435
330.386098140472;1024649.107669
291.782019750287;1008127.62030365
255.510377234284;991606.132938306
224.120906217552;975084.645572958
198.650803693272;958563.15820761
168.665785628314;942041.670842262
137.29528509821;925520.183476914
107.194225271301;908998.696111566
83.09354751;892477.208746218
62.219436555667;875955.72138087
47.08306603;859434.234015522
27.1045723299679;842912.746650174
11.07258455;826391.259284826
-12.8762532396995;809869.771919478
-24.93789694;793348.284554131
-41.5091266262197;776826.797188783
-52.7194870085207;760305.309823435
-74.9448582401918;743783.822458087
-84.95536607;727262.335092739
-91.8214498783467;710740.847727391
-103.178655565476;694219.360362043
-113.861980704063;677697.872996695
-127.821290764261;661176.385631347
-145.279665949345;644654.898265999
-152.595834835916;628133.410900651
-161.587792809068;611611.923535303
-173.081388176654;595090.436169955
-182.658877699052;578568.948804607
-188.019483090983;562047.46143926
-193.680973288857;545525.974073912
-203.142812070883;529004.486708564
-212.604650852909;512482.999343216
-218.589336462183;495961.511977868
-221.565414571937;479440.02461252
-224.541492681691;462918.537247172
-227.517570791446;446397.049881824
-231.373176166032;429875.562516476
-236.099429233784;413354.075151128
-240.825682301536;396832.58778578
-245.551935369288;380311.100420432
-250.278188437041;363789.613055084
-254.287253642788;347268.125689736
-257.318187044157;330746.638324389
-260.349120445525;314225.150959041
-263.380053846894;297703.663593693
-266.410987248263;281182.176228345
-269.441920649631;264660.688862997
-272.472854051;248139.201497649
-275.503787452368;231617.714132301
-278.563974185058;215096.226766953
-281.65313688581;198574.739401605
-284.742299586563;182053.252036257
-287.831462287315;165531.764670909
-290.920624988068;149010.277305561
-294.00978768882;132488.789940213
-297.098950389573;115967.302574865
-300.188113090325;99445.8152095176
-303.043584783958;82924.3278441696
-305.813071313166;66402.8404788217
-308.582557842375;49881.3531134738
-311.352044371583;33359.8657481259
-314.121530900792;16838.3783827779
-316.89101743;316.89101743
-316.949403050885;-0
-317.007788671771;-316.89101743
