Hanh [A/m];Manh [A/m]
0;0
3.36568292502726e-05;0
0.0683835638098151;2723.56268016748
0.0748520490176658;22411.4523972902
0.0827599999999999;12567.5075387288
0.0859385445493226;32255.3972558515
0.137527212055995;42099.3421144128
0.244489846287332;51943.2869729742
0.315059636693389;71631.1766900969
0.329027214507973;81475.1215486582
0.364856260446607;61787.2318315355
0.392945365620152;91319.0664072195
0.491878823864762;101163.011265781
0.590324401656377;111006.956124342
0.709271417667164;120850.900982904
0.819218721643647;170070.62527571
0.859586372929745;130694.845841465
0.869078841970702;140538.790700026
0.898546050297734;150382.735558588
0.922508622123156;160226.680417149
1.0199432125357;179914.570134272
1.18334377337877;199602.459851394
1.19566895999706;209446.404709956
1.26595948503291;189758.514992833
1.32558935680077;219290.349568517
1.38624209464446;229134.294427078
1.47760021742998;238978.23928564
1.57549762887151;248822.184144201
1.65913385325267;258666.129002762
1.74136894623548;268510.073861324
1.7947893027998;278354.018719885
1.93023844203575;288197.963578446
2.04532771452098;298041.908437008
2.085195;307885.853295569
2.18055697477224;327573.743012692
2.37653462843831;337417.687871253
2.49903994419464;347261.632729814
2.59307496883361;357105.577588376
2.70542512054567;366949.522446937
2.84264847525616;376793.467305498
2.99354972845045;386637.41216406
3.14460846985595;396481.357022621
3.29892853321062;406325.301881182
3.5096691645587;416169.246739744
3.72127789453202;426013.191598305
3.9107827727997;435857.136456867
4.09972449104772;445701.081315428
4.33402069290465;455545.026173989
4.46034999432752;465388.971032551
4.71848050695861;475232.915891112
4.88956345724696;485076.860749673
5.13304871733165;494920.805608234
5.45528717428995;504764.750466796
5.79308527739718;514608.695325357
6.08736112586123;524452.640183919
6.42259883625395;534296.58504248
6.67931613831387;544140.529901041
7.0103444104184;553984.474759603
7.30937918997475;563828.419618164
7.81816846514501;573672.364476725
8.17267613014645;583516.309335287
8.49450007860171;593360.254193848
8.96953759270874;603204.199052409
9.48734531920496;613048.143910971
9.8049594134616;622892.088769532
10.3915385666269;632736.033628093
11.0467422369998;642579.978486655
11.4189726294575;652423.923345216
12.1662978055196;662267.868203777
12.7568845337918;672111.813062339
13.4005065186918;681955.7579209
14.0794129749151;691799.702779461
14.7953419341034;701643.647638023
15.5896688443456;711487.592496584
16.4190434076706;721331.537355145
17.1369096631707;731175.482213707
17.9586382773264;741019.427072268
18.9135829711068;750863.371930829
19.8805605753723;760707.316789391
20.9282286688609;770551.261647952
22.0577323899674;780395.206506513
23.1611857464437;790239.151365075
24.4270735130413;800083.096223636
25.6741802645927;809927.041082197
26.9557939059713;819770.985940759
28.6224191001672;829614.93079932
30.343892633623;839458.875657881
32.1483592354877;849302.820516443
34.0965690588253;859146.765375004
36.3008410481695;868990.710233566
38.8667755673867;878834.655092127
41.6842860830297;888678.599950688
44.800842505437;898522.544809249
48.1174506463985;908366.489667811
52.1737139048461;918210.434526372
57.5012669658472;928054.379384934
64.3535913181799;937898.324243495
74.165138878334;947742.269102056
90.2766379646599;957586.213960618
123.109217762589;967430.158819179
374.923;977274.10367774
