H [A/m];B [T]
322.69182142;0
361.134922;0.26124386
379.1390104;0.3822242
406.14667946;0.48147154
433.15588496;0.56519678
460.16355402;0.63650217
496.17326728;0.69849314
523.18093633;0.75117034
559.19218604;0.80384735
595.2018993;0.84876279
631.21314901;0.89367824
676.22644292;0.93704103
712.23615618;0.97419484
757.24945009;1.01134834
802.26274399;1.04539735
856.27808211;1.07944637
901.29137602;1.11039058
955.30671413;1.14443959
1000.32000804;1.17227963
1054.33534615;1.20322511
1108.35222071;1.22485237
1171.36960303;1.2464828
1225.38647759;1.27121931
1288.4038599;1.29284975
1360.42482287;1.31448018
1432.44578583;1.33921351
1495.46470459;1.35774105
1567.48720401;1.37937148
1639.50048474;1.39478977
1711.52912994;1.41331731
1783.54241067;1.42873877
1864.57463652;1.44415705
1936.58791725;1.45957852
2017.6201431;1.47499998
2098.63700448;1.48731537
2179.66923033;1.49963393
2269.68967236;1.51194932
2368.71369504;1.52426471
2458.74950155;1.5334772
2557.77352423;1.54579259
2647.79396626;1.55500508
2746.83335341;1.56421439
2845.85737609;1.57342688
2953.88497942;1.5795333
3052.92436657;1.58563971
3160.9519699;1.59485221
3259.97599258;1.60095862
3368.00359591;1.61017111
3485.05014437;1.61627753
3611.084909;1.62549002
3728.11609298;1.63159644
3863.15443826;1.63770285
3989.18920289;1.64380927
4124.22754817;1.65302176
4250.2623128;1.65912818
4403.30781938;1.66523459
4547.34974531;1.67444709
4700.3952519;1.67744743
4835.43359718;1.68355384
4988.47910376;1.69276633
5141.52461034;1.69887275
5294.57011692;1.70497917
5447.6156235;1.71108558
5618.66829139;1.717192
5780.71737862;1.72330159
5933.7628852;1.72940801
6095.79660796;1.73551443
6284.85643714;1.74162084
6446.90552437;1.74772726
6626.9617729;1.75383367
6807.01802144;1.75994009
6996.06248615;1.76604651
7149.10799273;1.7721561
7347.17140256;1.77826252
7527.22765109;1.78436893
7725.27569645;1.79047535
7923.33910629;1.79658177
8130.3907323;1.80579426
8337.45772278;1.81190067
8553.51292944;1.81800709
8760.57991992;1.82411351
8985.63870723;1.83021992
9183.70211707;1.83632634
9408.76090438;1.84243593
9642.83863681;1.84854235
9885.90458542;1.85154269
10119.98231786;1.85764911
10363.04826647;1.86375552
10597.11063443;1.86675904
10849.18016369;1.87597153
11074.25431547;1.87897187
11344.33100604;1.88507829
11578.393374;1.89118789
11839.48184838;1.8972943
12064.54063569;1.90340072
12334.61732626;1.90640106
12595.69043617;1.91250748
12883.77428803;1.91861707
13144.86276241;1.92472349
13432.94661428;1.9308299
13703.02330484;1.93693632
14000.11073735;1.94304273
14279.19100856;1.94604625
14576.27844108;1.95215267
14846.35513164;1.95825909
15161.44972545;1.9643655
15431.51105154;1.96736902
15737.57133576;1.97347544
16034.72022616;1.97958186
16340.78051038;1.98568827
16628.86436224;1.98869179
16971.0311559;1.99479821
17277.09144012;2.00090462
17628.16962759;2.00701104
17979.24781506;2.01311746
18231.37880221;2.01922387
18267.33166692;2.02222739
18267.33166692;2.0314367
18267.33166692;2.03444022
18267.33166692;2.03433767
18267.33166692;2.03423511
18267.33166692;2.03723863
18267.33166692;2.03403
18267.33166692;2.03703352
18267.33166692;2.03693097
18267.33166692;2.03682841
18267.33166692;2.03672586
18267.33166692;2.0366233
18267.33166692;2.03652075
18267.33166692;2.03641819
18267.33166692;2.03631564
18267.33166692;2.03621308
18267.33166692;2.03300445
18267.33166692;2.02669292
18267.33166692;2.02348429
18186.36089895;2.01717277
17889.21200855;2.01086124
17547.19885962;2.00765261
17232.07353686;2.00134108
16898.97178175;1.99502955
16583.84645899;1.98871803
16268.72113624;1.98551258
15944.68441966;1.97919787
15629.5590969;1.97288634
15332.56385122;1.96968089
15017.40779952;1.96336936
14729.32394766;1.95705466
14441.2400958;1.95074313
14153.15624393;1.94753768
13847.06523077;1.94122615
13576.98854021;1.93491463
13279.9011077;1.92859992
13009.80905266;1.92539447
12730.72878145;1.91908294
12451.64851024;1.91277142
12181.57181967;1.90645671
11938.50587106;1.90325126
11686.4363418;1.89693973
11452.35860937;1.8906282
11182.28191881;1.88741957
10948.21955084;1.88110805
10705.13823776;1.87479652
10462.07228915;1.87158789
10219.00634054;1.86527636
9975.94039193;1.85896484
9741.86265949;1.8557562
9507.80029153;1.84944468
9282.72613975;1.84623923
9075.67451374;1.8399277
8859.6039426;1.83671907
8652.55231659;1.83040754
8427.47816481;1.82409602
8229.43011945;1.81778449
8013.35954832;1.81147296
7824.29971913;1.80515826
7617.24809312;1.79884673
7437.19184459;1.79564128
7239.14379923;1.78932975
7077.094712;1.78301822
6897.03846347;1.77980959
6716.98221493;1.77349807
6536.9259664;1.76718654
6374.89224364;1.76087501
6185.83241446;1.75456031
6023.78332723;1.75135485
5852.73065935;1.74504333
5708.68873342;1.7387318
5528.63248488;1.73242027
5375.5869783;1.72921164
5231.54505237;1.72290012
5078.51491026;1.71969149
4916.46582303;1.71337996
4772.4238971;1.70706843
4628.38197117;1.7038598
4484.34004523;1.69754828
4340.2981193;1.69434282
4205.25977402;1.6880313
4070.22142874;1.68482267
3944.17129964;1.67851114
3809.13295436;1.67219961
3692.10177038;1.66588809
3557.0634251;1.66267945
3440.03224111;1.65636793
3332.00463778;1.6531593
3223.96166998;1.64684777
3124.9376473;1.64053624
3016.91004397;1.63422472
2908.88244064;1.63101927
2818.84663414;1.62470456
2710.81903081;1.62149911
2620.79858878;1.61518758
2530.76278228;1.60887605
2431.7387596;1.60566742
2332.71473692;1.5993559
2242.67893041;1.59614727
2152.65848838;1.58673284
2080.62984318;1.58352421
1990.60940115;1.57721269
1918.58075595;1.57090116
1837.56389457;1.56458963
1765.55061384;1.561381
1684.51838799;1.55506947
1621.50868791;1.54875795
1549.48004271;1.54244642
1477.45907974;1.53613489
1405.43811678;1.52982337
1342.41919801;1.52350866
1270.39823505;1.51719713
1216.38289694;1.51088561
1153.36551462;1.50457408
1099.34864006;1.49515648
1045.33330195;1.48574206
991.31796384;1.47943053
937.30262572;1.47001293
892.28933181;1.46059532
838.27245725;1.45117772
793.26069979;1.4417633
748.24740588;1.43545177
703.23411197;1.4229281
667.22286227;1.41351367
631.21314901;1.40409607
586.1998551;1.39467847
559.19218604;1.38526404
523.18093633;1.37274037
487.17122308;1.36021987
460.16355402;1.34769937
433.15588496;1.33828177
406.14667946;1.32576127
379.1390104;1.31324077
352.13134135;1.30071709
334.12571649;1.2881966
307.11804744;1.27257002
289.11395903;1.26004952
271.10833418;1.24752903
253.10270933;1.23500853
235.09708447;1.22248485
217.09299607;1.21307043
199.08737121;1.20365283
181.08174636;1.19113233
163.07612151;1.18171472
145.0720331;1.16919423
136.06845245;1.15667373
118.06344218;1.14725613
109.06078339;1.13783852
100.05812461;1.1284241
91.05561948;1.11900586
82.05296069;1.10958921
73.05030191;1.10017257
64.04764313;1.09075624
55.04513799;1.08444407
55.04513799;1.07502742
46.04247921;1.06871558
37.03982043;1.06240373
37.03982043;1.05919638
28.03716165;1.05288453
28.03716165;1.04967717
19.03465651;1.04336533
19.03465651;1.04326277
19.03465651;1.03695093
10.03199773;1.03374357
10.03199773;1.03364101
10.03199773;1.03043397
10.03199773;1.02722661
10.03199773;1.02712406
10.03199773;1.0270215
10.03199773;1.02691895
10.03199773;1.02681639
10.03199773;1.02671384
10.03199773;1.02661128
10.03199773;1.02650873
10.03199773;1.02640617
10.03199773;1.02630361
10.03199773;1.02620106
10.03199773;1.0260985
10.03199773;1.02599595
10.03199773;1.02589339
10.03199773;1.02579084
10.03199773;1.02568828
10.03199773;1.02558573
10.03199773;1.02548317
10.03199773;1.02227581
10.03199773;1.02217326
1.02933895;1.01896622
1.02933895;1.01575886
1.02933895;1.01255182
1.02933895;1.01244926
-7.97331984;1.0092419
-7.97331984;1.00603454
-16.97582497;0.9997227
-16.97582497;0.99651534
-25.97851448;0.99020349
-25.97851448;0.98078685
-25.97851448;0.9775798
-43.98377059;0.95884906
-52.9864601;0.94943242
-52.9864601;0.94001577
-70.99162402;0.92749463
-79.9942828;0.91497318
-88.99694158;0.90245205
-97.99944672;0.8837213
-107.0021055;0.86499056
-125.00742307;0.84625982
-143.01258699;0.82131992
-152.01524577;0.79482753
-170.02040969;0.76833515
-188.02572725;0.73408112
-206.03073752;0.6905129
-215.03431817;0.6438402
-242.04198723;0.56922522
-260.04607564;0.46977149
