H_675C_2.5lbf_strip';'B_675C_2.5lbf_strip'
1298.372075;1.108944231
1290.507488;1.107697369
1282.641194;1.106401107
1274.774899;1.105025811
1268.340133;1.103704854
1260.474408;1.102378957
1251.893203;1.100919687
1241.882176;1.099519693
1234.730792;1.098114759
1228.296026;1.096512238
1219.000479;1.094880078
1208.989453;1.093346714
1201.123158;1.091724435
1192.541953;1.089929266
1183.960747;1.088173616
1175.380111;1.086477241
1167.514386;1.084642554
1158.219408;1.082704136
1149.638203;1.080834872
1140.342087;1.078950788
1131.760881;1.076908633
1123.179676;1.074797324
1114.59847;1.072661316
1106.019542;1.070515429
1096.722857;1.068275686
1086.712399;1.065956906
1077.416283;1.063682584
1068.835078;1.061314411
1057.394229;1.058753587
1049.527935;1.056133486
1040.231819;1.053552904
1030.935703;1.05086859
1020.209765;1.047947169
1011.62856;1.045055386
1003.047354;1.04220312
993.037466;1.039113745
984.4562606;1.035886059
975.1612829;1.032692952
965.1502561;1.029381296
955.8541401;1.025807835
946.558024;1.022145457
935.8320865;1.018438624
926.5359704;1.014544082
916.5249436;1.01046183
908.658649;1.006325242
900.0774436;1.002065163
889.3515061;0.997567976
879.3404794;0.992902838
871.4764615;0.988045053
860.7488164;0.983029198
851.4544079;0.977835513
842.1577227;0.972404721
831.4323544;0.96681586
822.1356691;0.960940495
812.1252115;0.954679832
803.5440061;0.948127726
793.5329794;0.941387912
784.2368633;0.934336897
774.2258365;0.926796852
765.6446311;0.9190444
754.9186936;0.911069664
745.6225776;0.902541679
735.6115508;0.893598739
725.600524;0.884403876
717.0193186;0.874724943
708.4381133;0.864571791
696.9972651;0.854250674
687.7028566;0.843638117
677.6906914;0.832699557
668.3962829;0.821627633
659.8150776;0.810535941
649.0891401;0.799409677
639.793024;0.788115468
630.4969079;0.776727411
619.7709704;0.765393694
610.4748544;0.753995758
599.7489169;0.742429876
591.8826222;0.730819534
582.5865061;0.719268466
573.2903901;0.707682816
562.5644526;0.696003309
552.5534258;0.684308978
543.2573097;0.672609703
533.9611936;0.660831385
525.3799883;0.648978959
513.9391401;0.637136421
504.6439916;0.625264256
496.7780954;0.61333774
486.052101;0.601307489
476.7562695;0.589267368
465.314966;0.577291447
453.8738901;0.565246372
445.2931401;0.553151911
434.566918;0.541052505
423.1258421;0.528948165
413.8300106;0.516754912
405.2490329;0.504467802
394.5230385;0.492165869
385.227207;0.47986888
373.7859035;0.46752744
365.2051535;0.455072384
355.1942405;0.442622264
345.8981814;0.430172143
335.172187;0.417598537
325.161274;0.404980471
315.1501334;0.392362394
304.4241503;0.379783845
292.9829777;0.367121337
282.2568728;0.354285938
273.6761137;0.341425837
264.3801513;0.32858056
255.7992818;0.315631546
245.0732874;0.302647951
233.6322115;0.289728575
221.4758834;0.276675825
208.6045876;0.263588503
196.4484303;0.250506126
186.4375173;0.237418804
176.4263767;0.224380878
165.7003823;0.211318249
156.4045508;0.198295147
146.3934102;0.185237472
135.6674157;0.172209426
127.0866657;0.159255477
117.0755251;0.146217561
107.7796936;0.133179645
94.90845481;0.120225697
84.89731418;0.107340893
73.45623829;0.094386935
60.58499945;0.081413228
49.85906195;0.068474104
39.13369365;0.055495453
29.12152847;0.042516802
19.11164008;0.029478886
9.100613289;0.016352047
-0.910413496;0.00326966
-9.491618853;-0.009857178
-18.78773492;-0.023033413
-31.65840457;-0.036150372
-40.95452064;-0.049252507
-50.96554742;-0.062354633
-61.69205412;-0.075372791
-72.41742242;-0.088395903
-83.14335992;-0.101507928
-93.15495591;-0.114570547
-102.4505028;-0.127652934
-112.4615296;-0.140779782
-123.1874671;-0.15397083
-132.4835831;-0.167127296
-142.4946099;-0.180244246
-152.5056367;-0.193341447
-161.8017528;-0.206492988
-173.2431702;-0.219688981
-183.9685385;-0.232825689
-193.9795653;-0.246051309
-203.9905921;-0.259331269
-214.0016189;-0.272502559
-225.4436055;-0.285683728
-235.4534939;-0.298978502
-245.465659;-0.31217942
-256.9065072;-0.325296379
-268.3473555;-0.338517074
-277.6440407;-0.351663671
-286.9384492;-0.364681849
-296.9506144;-0.377858093
-307.6759827;-0.391068909
-318.4036278;-0.404121649
-329.844476;-0.417204026
-338.4234046;-0.430256776
-349.8665296;-0.443151459
-361.3073778;-0.456060956
-371.3184046;-0.469005035
-382.0443421;-0.481795991
-392.7702796;-0.49451285
-403.4962171;-0.507234642
-413.5072439;-0.519916928
-423.5182706;-0.532505357
-432.8143867;-0.545177754
-442.8254135;-0.557879799
-453.551351;-0.570290403
-462.8474671;-0.582735579
-472.8584939;-0.595314129
-483.5844314;-0.607793887
-494.3103689;-0.620110635
-504.3213956;-0.632545932
-512.902601;-0.645060262
-522.9124894;-0.657401712
-532.9246546;-0.669703645
-543.6500229;-0.682025327
-553.6616189;-0.6942828
-564.3875564;-0.706327875
-575.8284046;-0.718402578
-584.4096099;-0.730669929
-595.8504581;-0.742779224
-604.4316635;-0.754765024
-613.7277796;-0.766805154
-623.7382372;-0.778874923
-634.4647439;-0.790875537
-644.4757706;-0.802742787
-653.0546992;-0.814698959
-664.4978242;-0.826595837
-675.2231925;-0.838240762
-684.5198778;-0.849885677
-695.960726;-0.861352777
-704.5419314;-0.872395083
-715.9827796;-0.883220037
-725.992668;-0.893634972
-736.0048331;-0.903462082
-746.0158599;-0.912874277
-756.0268867;-0.921851779
-767.4677349;-0.930468668
-776.763851;-0.9386311
-786.7743086;-0.94623536
-796.0709939;-0.953597578
-806.0808822;-0.960732568
-815.3775675;-0.967329128
-825.3874559;-0.973663886
-833.2531814;-0.979959127
-843.2642081;-0.985770276
-853.2752349;-0.991141791
-864.7160831;-0.996572581
-873.2972885;-1.001830483
-884.7381367;-1.006530196
-895.4640742;-1.011185452
-905.475101;-1.015899988
-915.4861278;-1.020145252
-926.2132037;-1.024163288
-936.2230921;-1.028378911
-946.2341189;-1.032278393
-956.2451456;-1.035674025
-964.826351;-1.039262309
-974.8373778;-1.043003723
-985.5633153;-1.046211648
-995.5743421;-1.049103431
-1007.01519;-1.052429909
-1016.311306;-1.055692171
-1024.892512;-1.058248054
-1034.903538;-1.060868155
-1044.914565;-1.063888371
-1053.495771;-1.066572688
-1062.076976;-1.06883713
-1072.802913;-1.0712794
-1082.09903;-1.073840224
-1091.393438;-1.076055266
-1099.974643;-1.078171516
-1110.700012;-1.080406318
-1119.281217;-1.082507749
-1130.008862;-1.084475807
-1138.58836;-1.086483382
-1146.454655;-1.088584813
-1156.465681;-1.090528173
-1165.046887;-1.092254188
-1173.628092;-1.094074055
-1183.639119;-1.095938379
-1192.934666;-1.097575477
-1200.800391;-1.099118721
-1210.81028;-1.100824974
-1219.391485;-1.102422556
-1226.542869;-1.103763274
-1236.553896;-1.105267003
-1244.419621;-1.106904102
-1253.000826;-1.108254697
-1261.580324;-1.109560836
-1269.446619;-1.111094201
-1278.027824;-1.112410221
-1285.179208;-1.113474316
-1291.613405;-1.114775514
-1299.479699;-1.116150808
-1308.060905;-1.117205021
-1315.927199;-1.118214777
-1323.792355;-1.119446821
-1330.942601;-1.120565252
-1338.808896;-1.121456454
-1345.96028;-1.122476089
-1353.824297;-1.123708132
-1363.120983;-1.124708011
-1370.986708;-1.125446083
-1379.567913;-1.126416322
-1388.149119;-1.127470534
-1396.730324;-1.128228363
-1403.164521;-1.128956556
-1411.030815;-1.129911976
-1418.182199;-1.130758724
-1423.901485;-1.131373304
-1430.337958;-1.132111375
-1436.774431;-1.13296306
-1443.208628;-1.133602339
-1450.360012;-1.134152703
-1457.511396;-1.134875957
-1462.515771;-1.135554753
-1470.382065;-1.136040901
-1475.38644;-1.136581386
-1483.252735;-1.137210785
-1488.259387;-1.137701873
-1495.409632;-1.138118865
-1502.559878;-1.138644531
-1508.996351;-1.139150438
-1514.000726;-1.139513093
-1521.15211;-1.139885628
-1526.157054;-1.140327318
-1534.02278;-1.140694913
-1539.744342;-1.140988411
-1545.463628;-1.141360945
-1550.47028;-1.141768058
-1556.904476;-1.142061558
-1561.196217;-1.142335298
-1566.916641;-1.142628797
-1571.207244;-1.142942056
-1576.92653;-1.143284952
-1582.648092;-1.143529054
-1587.652467;-1.143728698
-1594.08894;-1.144007378
-1596.948583;-1.144276178
-1603.385056;-1.144451123
-1608.389431;-1.144650768
-1614.110994;-1.144909689
-1616.970637;-1.145109333
-1621.977288;-1.145225002
-1626.266753;-1.14537525
-1631.273405;-1.145668749
-1636.99269;-1.145902972
-1640.569521;-1.145959365
-1645.573896;-1.146119492
-1649.149018;-1.146388292
-1653.44019;-1.146444685
