H_675C_0.8lbf_strip';'B_675C_0.8lbf_strip'
-855.8784633;-1.144244511
-857.3082847;-1.144273013
-858.7381061;-1.144306397
-858.7381061;-1.144290963
-858.7381061;-1.14430482
-860.1679276;-1.144352849
-861.597749;-1.14435206
-862.3132289;-1.144331744
-864.4596686;-1.144365128
-864.4596686;-1.144398512
-865.1745793;-1.144383078
-867.3193115;-1.144377408
-867.3193115;-1.14440591
-868.0342222;-1.144419766
-868.7491329;-1.144404332
-870.1789543;-1.144418189
-870.1789543;-1.144436927
-870.8938651;-1.144406847
-870.8938651;-1.144376768
-871.6087758;-1.144366216
-872.3236865;-1.1443459
-873.0385972;-1.144315821
-873.0385972;-1.144315032
-873.0385972;-1.144338653
-873.7540771;-1.144328101
-874.469557;-1.144302903
-873.7540771;-1.144292352
-874.469557;-1.144291563
-874.469557;-1.144281011
-875.1850369;-1.144246051
-875.1850369;-1.144201327
-874.469557;-1.144137076
-875.9005168;-1.144082588
-875.1850369;-1.144047628
-873.7540771;-1.144007785
-873.0385972;-1.143977706
-873.7540771;-1.14395739
-875.1850369;-1.143941957
-873.7540771;-1.143936286
-874.469557;-1.143959907
-872.3236865;-1.143993291
-873.0385972;-1.143982739
-873.0385972;-1.143938015
-870.8938651;-1.143873763
-870.8938651;-1.143814394
-871.6087758;-1.143759906
-869.4640436;-1.143715181
-869.4640436;-1.143689984
-870.1789543;-1.143650142
-867.3193115;-1.143620063
-867.3193115;-1.143599747
-867.3193115;-1.143559905
-865.1745793;-1.143505417
-865.1745793;-1.14348022
-863.7441887;-1.143459905
-862.3132289;-1.143405418
-861.597749;-1.143350931
-860.8828383;-1.143335497
-860.1679276;-1.143324945
-858.7381061;-1.143265575
-857.3082847;-1.143215969
-855.8784633;-1.143210299
-855.8784633;-1.143170456
-854.4475034;-1.143096441
-853.0165436;-1.143066362
-852.3016329;-1.14305581
-850.1569008;-1.143025731
-849.4419901;-1.14299077
-848.0121686;-1.14295581
-846.5823472;-1.142906204
-844.4376151;-1.142846834
-843.7221351;-1.14280211
-841.5756954;-1.142747623
-840.8607847;-1.142654081
-838.7160526;-1.142575186
-837.2862311;-1.142530462
-834.4254499;-1.142475974
-832.9944901;-1.142401959
-830.8497579;-1.142357235
-828.7050258;-1.142317393
-827.2752043;-1.142228733
-825.8453829;-1.142154718
-824.4155615;-1.142134402
-821.5536418;-1.142099442
-820.8387311;-1.142020545
-817.9790883;-1.141966057
-815.8343561;-1.141921333
-812.9724365;-1.141813146
-811.5426151;-1.141704959
-809.3978829;-1.141655353
-807.2531508;-1.141600865
-805.1084186;-1.141521969
-801.5315883;-1.141477245
-800.8166776;-1.141452048
-798.6719454;-1.141378034
-795.8123026;-1.141299137
-793.6658628;-1.14127394
-792.2354722;-1.141243861
-788.6609186;-1.141145438
-785.0863651;-1.141047015
-784.3714543;-1.140987646
-781.5095347;-1.140889223
-778.6498918;-1.140761509
-775.790249;-1.140692376
-773.6455168;-1.140637888
-770.7841664;-1.140515055
-767.9239543;-1.140401987
-766.4941329;-1.140347499
-762.202961;-1.140244194
-758.6278383;-1.140096954
-756.4831061;-1.140008294
-753.6217557;-1.139919635
-750.0466329;-1.139757749
-747.9019008;-1.139610509
-745.0422579;-1.139512085
-741.4654276;-1.139359962
-738.6057847;-1.139178549
-735.0312311;-1.139070363
-732.886499;-1.138967058
-729.3096686;-1.138814936
-725.0202043;-1.138696985
-722.8743338;-1.138618088
-718.5837311;-1.138495256
-715.7240883;-1.138343133
-712.1489655;-1.138234947
-708.5727043;-1.138131641
-704.2832401;-1.1379844
-701.4213204;-1.137817632
-698.5616776;-1.137670391
-694.2722133;-1.13752315
-691.411432;-1.137366145
-687.1208293;-1.13720426
-683.5457066;-1.137037492
-678.539624;-1.136851198
-675.6799811;-1.136625849
-672.1048584;-1.136410264
-669.2435079;-1.136204443
-664.2391329;-1.135974212
-662.0944008;-1.135748864
-657.8026597;-1.135543042
-653.5131954;-1.13530793
-649.9363651;-1.135053291
-644.9319901;-1.134788889
-641.3574365;-1.134500078
-638.4955168;-1.13419174
-633.4911418;-1.133858993
-629.9143115;-1.133531127
-627.0546686;-1.133222789
-621.3353829;-1.132875396
-618.4734633;-1.132484068
-613.4690883;-1.13209274
-610.6077378;-1.131667239
-607.0326151;-1.131173394
-600.5978494;-1.130655139
