H_675C_10s;B_675C_10s
317.574;1.22745
316.001;1.22741
314.714;1.22737
312.998;1.22734
311.282;1.22731
309.423;1.22726
307.849;1.22722
306.133;1.22717
304.56;1.22712
302.701;1.22707
301.128;1.22703
299.269;1.227
297.552;1.22696
295.55;1.22689
293.977;1.22684
291.975;1.2268
290.402;1.22674
288.543;1.22668
286.683;1.22663
284.967;1.22657
282.822;1.2265
280.82;1.22643
279.104;1.22637
276.958;1.22628
274.956;1.22621
273.24;1.22615
271.095;1.22606
269.093;1.22599
266.947;1.22594
264.802;1.22588
262.8;1.22581
260.941;1.22574
258.51;1.22568
256.65;1.22562
254.505;1.22554
252.503;1.22547
250.358;1.2254
248.356;1.22529
246.067;1.22519
244.065;1.22511
241.777;1.22503
239.775;1.22495
237.629;1.22488
235.198;1.2248
233.196;1.2247
231.051;1.22462
228.906;1.22453
226.474;1.22442
224.186;1.22432
221.898;1.22421
219.467;1.2241
217.321;1.22398
215.033;1.22385
212.602;1.22371
210.314;1.22358
208.026;1.22344
205.451;1.2233
203.163;1.22316
200.875;1.22301
198.444;1.22287
195.869;1.22271
193.581;1.22255
191.15;1.2224
188.719;1.22223
186.144;1.22205
183.856;1.22187
181.282;1.22168
178.851;1.2215
176.419;1.22132
173.845;1.22113
171.557;1.22092
169.269;1.22069
166.408;1.22045
164.12;1.22019
161.546;1.2199
158.972;1.21961
156.397;1.21932
153.966;1.21902
151.678;1.21871
149.104;1.21838
146.243;1.21801
143.955;1.21764
141.524;1.21727
138.807;1.21689
136.518;1.21649
133.515;1.21605
131.084;1.21558
128.653;1.21509
125.935;1.21455
123.504;1.21397
121.073;1.21335
118.642;1.21272
115.924;1.21204
113.493;1.21132
111.062;1.21057
108.488;1.20978
106.2;1.20893
103.911;1.20803
101.194;1.20707
99.0488;1.20604
96.7606;1.20495
94.1863;1.2038
91.8981;1.20255
89.4668;1.20123
87.0355;1.19983
85.0334;1.19838
82.459;1.19684
80.1709;1.19519
77.7397;1.19342
75.7375;1.19153
73.5923;1.18953
71.304;1.18741
69.3019;1.18513
67.2996;1.18268
65.2975;1.18006
63.0091;1.17726
61.15;1.17423
59.0047;1.171
57.2887;1.16757
55.5725;1.1639
53.7132;1.16001
51.8541;1.15586
49.9939;1.15147
48.7081;1.14684
46.8485;1.14194
45.1318;1.13677
43.846;1.13137
42.2722;1.12572
40.6983;1.11981
39.1268;1.11368
37.6958;1.10732
36.4083;1.10074
34.5505;1.09395
33.2624;1.08695
31.9743;1.07975
30.8313;1.07235
29.4004;1.06477
28.4003;1.05702
26.9693;1.04908
26.1121;1.04095
24.824;1.03266
23.9668;1.02417
22.8216;1.01551
21.9644;1.00667
20.9626;0.997648
19.8191;0.988447
19.1047;0.979083
18.1024;0.969585
17.2452;0.959917
16.3863;0.950055
15.3856;0.940067
14.385;0.929922
13.526;0.9196
12.8117;0.909106
11.8099;0.898464
11.095;0.887703
10.0949;0.876779
9.52175;0.865676
8.66397;0.85444
7.80505;0.843069
7.09014;0.831543
6.23293;0.819868
5.94719;0.808052
5.08771;0.79611
4.37337;0.783996
4.08763;0.771735
3.37215;0.759354
2.79954;0.74681
2.22806;0.734109
1.79946;0.721268
1.22742;0.70827
0.797105;0.695117
0.225632;0.681822
-0.202973;0.668386
-0.48871;0.654772
