'H_650C_6.5lbf_start';'B_650C_6.5lbf_start'
355.0505125;0.156440607
383.653373;0.168883379
415.1162178;0.181535604
449.4403562;0.194587704
480.9026888;0.207639813
506.6445973;0.220520531
526.6677893;0.233425055
552.4102669;0.24644383
575.2919634;0.259481654
609.6167848;0.272490928
641.0791174;0.285600158
666.8210259;0.298499936
689.7027223;0.3111617
712.5866955;0.324285206
735.4683919;0.337456303
769.7909366;0.350022856
806.9759701;0.36261797
847.0189388;0.375798597
875.6210594;0.38875074
915.6663049;0.401326803
944.2684254;0.41408376
978.5932469;0.42678836
1007.195367;0.439440594
1032.937276;0.452140429
1050.098548;0.464792654
1067.262097;0.477302077
1101.584642;0.489668697
1124.466338;0.502282841
1158.79116;0.514916035
1193.113704;0.527268389
1215.995401;0.539630254
1241.737309;0.552168237
1264.621283;0.56474431
1296.083615;0.577020503
1330.40616;0.589391887
1359.010557;0.60188226
1387.612678;0.614286961
1410.494374;0.62664407
1433.378347;0.638753655
1456.260044;0.650848956
1479.14174;0.663025173
1513.464285;0.675101432
1542.068682;0.687072971
1564.950379;0.699006428
1593.552499;0.710801838
1616.434196;0.72265437
1639.318169;0.734635428
1670.780501;0.746716443
1699.384329;0.758821254
1730.847231;0.770907034
1759.449352;0.782873817
1779.470836;0.794578781
1805.215021;0.806202819
1830.95693;0.81804583
1862.419262;0.829803141
1893.883872;0.841170107
1919.62578;0.852603732
1945.367689;0.864094488
1968.249385;0.875399577
1991.133358;0.886771316
2014.015055;0.898076434
2039.756963;0.908934084
2071.219865;0.919972609
2096.963481;0.931134895
2119.845178;0.941806898
2142.726874;0.952302783
2165.610847;0.963089037
2188.492544;0.973342134
2211.37424;0.982657472
2237.116149;0.991863332
2268.580758;1.000616961
2294.322667;1.008632763
2314.344151;1.016396276
2337.225847;1.024007458
2360.109821;1.031275909
2382.991517;1.038182589
2405.873213;1.045146393
2437.337254;1.05177222
2463.079731;1.057688777
2491.678437;1.063938549
2511.702767;1.070340648
2531.727097;1.075976354
2566.038258;1.081459734
2586.079664;1.087157323
2611.824419;1.092555019
2646.135579;1.097510017
2669.017276;1.102041356
2691.898972;1.106515573
2711.923303;1.111099275
2734.804999;1.114849942
2754.829329;1.118105549
2783.425758;1.121894298
2812.033571;1.1250309
2840.641383;1.127120258
2863.523079;1.129771321
2883.541718;1.132436664
2903.560356;1.133673946
2929.305111;1.134892187
2955.049865;1.137214795
2977.931562;1.138742448
3000.813258;1.138984848
3029.421071;1.140298292
3046.576651;1.14220676
3069.458347;1.142339675
3089.482678;1.142348826
3103.792276;1.144009766
3129.531338;1.145137563
3160.985133;1.144746857
3183.866829;1.145103502
3206.748526;1.146621635
3223.91549;1.147106805
3241.082454;1.146939828
3258.238035;1.147872458
