H (A/m),M (A/m)
1335.066815,1043897.205243
1379.017562,1046181.273408
1424.415178,1048494.667743
1471.307296,1050934.910799
1519.743114,1053428.778860
1569.773453,1056001.851977
1621.450803,1058595.112172
1674.829384,1062398.749030
1729.965203,1064375.069265
1786.916107,1067103.001534
1845.741849,1069418.503270
1906.504150,1071280.099863
1969.266762,1075945.336259
2034.095536,1078282.772553
2101.058489,1080938.634182
2170.225881,1083755.706590
2241.670281,1086042.189295
2315.466649,1089839.064465
2391.692412,1093753.077600
2470.427548,1097932.012011
2551.754665,1099803.932887
2635.759091,1104381.683531
2722.528965,1110107.153974
2812.155326,1112413.351485
2904.732210,1115715.672438
3000.356749,1120260.819012
3099.129273,1124703.123590
3201.153414,1129145.428167
3306.536216,1133587.732745
3415.388247,1138030.037322
3527.823716,1142472.341900
3643.960589,1146914.646477
3763.920718,1151160.951715
3887.829966,1155401.097329
4015.818339,1159641.242942
4148.020122,1163881.388556
4284.574022,1168121.534169
4425.623312,1172361.679783
4571.315981,1176601.825396
4721.804891,1180841.971010
4877.247935,1185082.116623
5037.808204,1189322.262237
5203.654159,1193819.238631
5374.959806,1198622.929825
5551.904879,1203426.621020
5734.675030,1208230.312215
5923.462022,1213034.003410
6118.463931,1217837.694605
6319.885353,1222641.385800
6527.937621,1227445.076995
6742.839024,1232248.768190
6964.815036,1237052.459385
7194.098557,1241698.352483
7430.930150,1246291.843545
7675.558301,1250885.334607
7928.239675,1255478.825670
8189.239385,1260072.316732
8458.831273,1264665.807795
8737.298196,1269259.298857
9024.932323,1273852.789920
9322.035440,1278446.280982
9628.919269,1283058.876453
9945.905793,1288070.707003
10273.327595,1293082.537554
10611.528209,1298094.368104
10960.862475,1303106.198654
11321.696915,1308118.029205
11694.410119,1313129.859755
12079.393139,1318141.690306
12477.049899,1323153.520856
12887.797624,1328165.351406
13312.067270,1332750.386466
13750.303983,1336509.259374
14202.967563,1340268.132283
14670.532945,1344027.005191
15153.490701,1347785.878100
15652.347552,1351544.751008
16167.626900,1355303.623917
16699.869378,1359062.496825
17249.633417,1362821.369734
17817.495831,1366580.242642
18404.052423,1370339.115551
19009.918610,1374083.814878
19635.730070,1377059.074069
20282.143406,1380034.333261
20949.836836,1383009.592452
21639.510908,1385984.851643
22351.889229,1388960.110834
23087.719230,1391935.370025
23847.772945,1394910.629216
24632.847827,1397885.888407
25443.767577,1400861.147598
26281.383016,1403836.406789
27146.572974,1406811.665981
28040.245209,1409786.925172
28963.337367,1412696.256065
29916.817958,1414826.696204
30901.687378,1416957.136343
31918.978955,1419087.576481
32969.760035,1421218.016620
34055.133101,1423348.456759
35176.236931,1425478.896897
36334.247790,1427609.337036
37530.380668,1429739.777175
38765.890550,1431870.217313
40042.073739,1434000.657452
41360.269210,1436131.097591
42721.860018,1438261.537729
44128.274750,1440391.977868
45580.989020,1442522.418007
47081.527021,1444652.858145
48631.463123,1446783.298284
50232.423524,1448072.039149
51886.087957,1449270.341168
53594.191454,1450468.643186
55358.526161,1451666.945205
57180.943225,1452865.247224
59063.354733,1454063.549242
61007.735716,1455261.851261
63016.126226,1456460.153280
65090.633474,1457658.455298
67233.434040,1458856.757317
69446.776156,1460055.059335
71732.982071,1461253.361354
74094.450478,1462451.663373
76533.659038,1463649.965391
79053.166978,1464848.267410
81655.617774,1466046.569429
84343.741927,1467244.871447
87120.359825,1468443.173466
89988.384705,1469491.708845
92950.825710,1470193.529984
96010.791042,1470895.351123
99171.491228,1471597.172262
102436.242486,1472298.993401
105808.470203,1473000.814541
109291.712532,1473702.635680
112889.624104,1474404.456819
116605.979860,1475106.277958
120444.679013,1475808.099097
124409.749139,1476509.920236
128505.350405,1477211.741375
132735.779927,1477913.562514
137105.476289,1478615.383654
141619.024191,1479317.204793
146281.159262,1480019.025932
151096.773030,1480720.847071
156070.918056,1481422.668210
161208.813228,1482124.489349
166515.849243,1482826.310488
171997.594264,1483503.182959
177659.799754,1483903.799676
183508.406521,1484304.416394
189549.550941,1484705.033112
195789.571406,1485105.649830
202235.014966,1485506.266548
208892.644202,1485906.883266
215769.444322,1486307.499984
222872.630489,1486708.116702
230209.655390,1487108.733420
237788.217058,1487509.350138
245616.266944,1487909.966856
253702.018266,1488310.583574
262053.954623,1488711.200291
270680.838894,1489111.817009
279591.722438,1489512.433727
288795.954582,1489913.050445
298303.192440,1490313.667163
308123.411039,1490714.283881
318266.913785,1491114.900599
328744.343277,1491515.517317
339566.692470,1491653.410742
350745.316210,1491749.950621
362291.943149,1491846.490499
374218.688046,1491943.030378
386538.064484,1492039.570256
399262.997994,1492136.110135
412406.839623,1492232.650014
425983.379932,1492329.189892
440006.863476,1492425.729771
454492.003742,1492522.269649
469453.998588,1492618.809528
484908.546193,1492715.349407
500871.861519,1492811.889285
517360.693334,1492908.429164
534392.341776,1493004.969042
551984.676510,1493101.508921
570156.155474,1493198.048800
588925.844247,1493294.588678
608313.436051,1493391.128557
628339.272415,1493487.668435
649024.364514,1493584.208314
670390.415219,1493677.757197
692459.841865,1493770.721140
715255.799770,1493863.685083
738802.206532,1493956.649026
763123.767123,1494049.612969
788245.999807,1494142.576912
814195.262918,1494235.540855
840998.782513,1494328.504798
868684.680936,1494421.468741
897282.006329,1494514.432684
926820.763104,1494607.396627
957331.943427,1494700.360570
988847.559733,1494793.324513
1021400.678316,1494886.288456
1055025.454020,1494979.252399
1089757.166077,1495072.216342
1125632.255119,1495165.180285
1162688.361413,1495258.144228
1200964.364353,1495351.108171
1240500.423255,1495444.072114
1281338.019489,1495537.036057
1323520.000000,1495630.000000
