 H(A/m) ;M(A/m)
10.6592;126929.0353
10.7290;127430.2522
10.7995;127931.4691
10.8706;128432.6861
10.9423;128933.9030
11.0147;129435.1200
11.0877;129936.3369
11.1614;130437.5538
11.2358;130938.7708
11.3109;131439.9877
11.3867;131941.2047
11.4633;132442.4216
11.5406;132943.6385
11.6187;133444.8555
11.6975;133946.0724
11.7770;134447.2893
11.8574;134948.5063
11.9384;135449.7232
12.0202;135950.9401
12.1027;136452.1571
12.1859;136953.3740
12.2698;137454.5910
12.3544;137955.8079
12.4396;138457.0248
12.5255;138958.2418
12.6120;139459.4587
12.6992;139960.6756
12.7869;140461.8926
12.8751;140963.1095
12.9639;141464.3264
13.0532;141965.5434
13.1429;142466.7603
13.2330;142967.9772
13.3236;143469.1942
13.4144;143970.4111
13.5056;144471.6280
13.5970;144972.8450
13.6887;145474.0619
13.7806;145975.2789
13.8726;146476.4958
13.9647;146977.7127
14.0570;147478.9297
14.1495;147980.1466
14.2421;148481.3635
14.3349;148982.5805
14.4280;149483.7974
14.5213;149985.0143
14.6150;150486.2313
14.7089;150987.4482
14.8032;151488.6651
14.8978;151989.8821
14.9929;152491.0990
15.0884;152992.3159
15.1843;153493.5329
15.2808;153994.7498
15.3778;154495.9667
15.4754;154997.1837
15.5737;155498.4006
15.6726;155999.6175
15.7722;156500.8345
15.8726;157002.0514
15.9738;157503.2683
16.0760;158004.4853
16.1790;158505.7022
16.2831;159006.9191
16.3883;159508.1361
16.4947;160009.3530
16.6023;160510.5699
16.7112;161011.7869
16.8214;161513.0038
16.9329;162014.2207
17.0458;162515.4376
17.1600;163016.6546
17.2756;163517.8715
17.3926;164019.0884
17.5110;164520.3054
17.6309;165021.5223
17.7522;165522.7392
17.8750;166023.9561
17.9992;166525.1731
18.1250;167026.3900
18.2522;167527.6069
18.3809;168028.8239
18.5111;168530.0408
18.6427;169031.2577
18.7756;169532.4746
18.9096;170033.6916
19.0446;170534.9085
19.1806;171036.1254
19.3173;171537.3423
19.4547;172038.5593
19.5928;172539.7762
19.7315;173040.9931
19.8707;173542.2100
20.0104;174043.4270
20.1504;174544.6439
20.2907;175045.8608
20.4313;175547.0777
20.5720;176048.2946
20.7127;176549.5116
20.8536;177050.7285
20.9948;177551.9454
21.1365;178053.1623
21.2789;178554.3793
21.4220;179055.5962
21.5662;179556.8131
21.7116;180058.0300
21.8584;180559.2469
22.0068;181060.4639
22.1570;181561.6808
22.3093;182062.8977
22.4637;182564.1146
22.6206;183065.3315
22.7802;183566.5485
22.9427;184067.7654
23.1085;184568.9823
23.2774;185070.1992
