Hanh [A/m];Manh [A/m]
0;0
0.00151417077441707;50.30519855
0.186865702348396;6082.64076025981
0.353452005853907;12114.9763219696
0.515454852860753;18147.3118836794
0.682933240567149;24179.6474453892
0.853409871923702;30211.983007099
1.0152798196069;36244.3185688089
1.17138761710699;42276.6541305187
1.32517110862404;48308.9896922285
1.47553915485494;54341.3252539383
1.61921984155363;60373.6608156481
1.76304658282556;66405.9963773579
1.91281590903778;72438.3319390677
2.07004309576407;78470.6675007775
2.23722884622002;84503.0030624873
2.41161870595536;90535.3386241971
2.59089070749807;96567.6741859069
2.77554877052043;102600.009747617
2.96077227423211;108632.345309327
3.1408595325251;114664.680871036
3.32134170737098;120697.016432746
3.50069602194049;126729.351994456
3.68218324312077;132761.687556166
3.87397415563967;138794.023117876
4.07068433488904;144826.358679585
4.27416977007043;150858.694241295
4.48961836319015;156891.029803005
4.71115915819934;162923.365364715
4.92867152650355;168955.700926425
5.13587481831591;174988.036488134
5.33855642641439;181020.372049844
5.54510209724431;187052.707611554
5.76486991401859;193085.043173264
5.99948534171325;199117.378734974
6.23714805119338;205149.714296684
6.4840044872978;211182.049858393
6.73973378119289;217214.385420103
7.00192571590223;223246.720981813
7.27794554185678;229279.056543523
7.57335897126919;235311.392105233
7.89013768638242;241343.727666942
8.23182617563074;247376.063228652
8.58531443124881;253408.398790362
8.94798963349256;259440.734352072
9.31640303619682;265473.069913782
9.68903539304682;271505.405475491
10.0745949916797;277537.741037201
10.4894282643753;283570.076598911
10.9431592866221;289602.412160621
11.4125788627813;295634.747722331
11.8940339274207;301667.08328404
12.4071935059603;307699.41884575
12.9393795796803;313731.75440746
13.4853025352933;319764.08996917
14.0791072897959;325796.42553088
14.6958621544671;331828.761092589
15.3331143249073;337861.096654299
15.9944838575101;343893.432216009
16.6582519287676;349925.767777719
17.3323981519788;355958.103339429
18.0422482246083;361990.438901138
18.7833182051397;368022.774462848
19.5551856026106;374055.110024558
20.3734438768945;380087.445586268
21.2621560318694;386119.781147978
22.1872537871836;392152.116709688
23.1406857822022;398184.452271397
24.1251495239278;404216.787833107
25.225674490021;410249.123394817
26.3346324915581;416281.458956527
27.4007114486004;422313.794518237
28.5252680905447;428346.130079946
29.7540545406581;434378.465641656
31.0589964445291;440410.801203366
32.4482551467524;446443.136765076
33.9998995757364;452475.472326786
35.6334684187471;458507.807888496
37.2923560546178;464540.143450205
38.9563052262663;470572.479011915
40.702874834378;476604.814573625
42.6510099289226;482637.150135335
44.7912947886288;488669.485697044
47.0200505017203;494701.821258754
49.2427217991326;500734.156820464
51.4815822169665;506766.492382174
53.9349210993893;512798.827943884
56.4848123592779;518831.163505594
59.2623183782779;524863.499067303
62.1628909052699;530895.834629013
65.2538625983223;536928.170190723
68.5115753895709;542960.505752433
72.0534209415907;548992.841314143
75.6837130232483;555025.176875852
79.5555813007665;561057.512437562
83.7240708920977;567089.847999272
88.0949742380234;573122.183560982
92.8030288870962;579154.519122692
97.838041620227;585186.854684402
103.350019555232;591219.190246111
108.9580078;597251.525807821
