H(A/m)	 M(A/m)
466.72	 1,038,750 
468.32	 1,038,780 
469.92	 1,038,820 
471.52	 1,038,850 
473.12	 1,038,880 
474.72	 1,038,910 
476.33	 1,038,930 
477.93	 1,038,960 
479.53	 1,038,990 
481.13	 1,039,020 
482.73	 1,039,050 
484.33	 1,039,070 
485.94	 1,039,100 
487.54	 1,039,130 
489.14	 1,039,150 
490.74	 1,039,180 
492.34	 1,039,210 
493.94	 1,039,230 
495.55	 1,039,260 
497.15	 1,039,290 
498.75	 1,039,320 
500.35	 1,039,350 
501.95	 1,039,380 
503.55	 1,039,400 
505.16	 1,039,430 
506.76	 1,039,460 
508.36	 1,039,500 
509.96	 1,039,530 
511.56	 1,039,560 
513.16	 1,039,590 
514.76	 1,039,620 
516.37	 1,039,650 
517.97	 1,039,690 
519.57	 1,039,720 
521.17	 1,039,750 
522.77	 1,039,790 
524.37	 1,039,820 
525.98	 1,039,850 
527.58	 1,039,890 
529.18	 1,039,920 
530.78	 1,039,960 
532.38	 1,039,990 
533.98	 1,040,030 
535.59	 1,040,060 
537.19	 1,040,100 
538.79	 1,040,130 
540.39	 1,040,170 
541.99	 1,040,200 
543.59	 1,040,240 
545.20	 1,040,270 
546.80	 1,040,310 
548.40	 1,040,340 
550.00	 1,040,380 
551.60	 1,040,420 
553.20	 1,040,450 
554.81	 1,040,490 
556.41	 1,040,520 
558.01	 1,040,560 
559.61	 1,040,590 
561.21	 1,040,620 
562.81	 1,040,660 
564.41	 1,040,690 
566.02	 1,040,720 
567.62	 1,040,750 
569.22	 1,040,780 
570.82	 1,040,810 
572.42	 1,040,840 
574.02	 1,040,870 
575.63	 1,040,900 
577.23	 1,040,920 
578.83	 1,040,950 
580.43	 1,040,970 
582.03	 1,040,990 
583.63	 1,041,010 
585.24	 1,041,030 
586.84	 1,041,050 
588.44	 1,041,060 
590.04	 1,041,080 
591.64	 1,041,100 
593.24	 1,041,120 
594.85	 1,041,130 
596.45	 1,041,150 
598.05	 1,041,170 
599.65	 1,041,190 
601.25	 1,041,210 
602.85	 1,041,230 
604.45	 1,041,250 
606.06	 1,041,270 
607.66	 1,041,290 
609.26	 1,041,320 
610.86	 1,041,340 
612.46	 1,041,360 
614.06	 1,041,390 
615.67	 1,041,410 
617.27	 1,041,440 
618.87	 1,041,470 
620.47	 1,041,490 
622.07	 1,041,520 
623.67	 1,041,550 
625.28	 1,041,580 
626.88	 1,041,600 
628.48	 1,041,630 
630.08	 1,041,660 
631.68	 1,041,690 
633.28	 1,041,720 
634.89	 1,041,750 
636.49	 1,041,770 
638.09	 1,041,800 
639.69	 1,041,830 
641.29	 1,041,860 
642.89	 1,041,880 
644.49	 1,041,910 
646.10	 1,041,940 
647.70	 1,041,960 
649.30	 1,041,990 
650.90	 1,042,020 
652.50	 1,042,040 
654.10	 1,042,070 
655.71	 1,042,090 
657.31	 1,042,110 
658.91	 1,042,140 
660.51	 1,042,160 
662.11	 1,042,180 
663.71	 1,042,200 
665.32	 1,042,230 
666.92	 1,042,250 
668.52	 1,042,270 
670.12	 1,042,290 
671.72	 1,042,310 
673.32	 1,042,330 
674.93	 1,042,350 
676.53	 1,042,370 
678.13	 1,042,380 
679.73	 1,042,400 
681.33	 1,042,420 
682.93	 1,042,440 
684.53	 1,042,450 
686.14	 1,042,470 
687.74	 1,042,490 
689.34	 1,042,500 
690.94	 1,042,520 
692.54	 1,042,540 
694.14	 1,042,550 
695.75	 1,042,570 
697.35	 1,042,580 
698.95	 1,042,600 
700.55	 1,042,610 
702.15	 1,042,630 
703.75	 1,042,640 
705.36	 1,042,650 
706.96	 1,042,670 
708.56	 1,042,680 
710.16	 1,042,700 
711.76	 1,042,710 
713.36	 1,042,720 
714.97	 1,042,740 
716.57	 1,042,750 
718.17	 1,042,770 
719.77	 1,042,780 
721.37	 1,042,790 
722.97	 1,042,810 
724.57	 1,042,820 
726.18	 1,042,840 
727.78	 1,042,860 
729.38	 1,042,870 
730.98	 1,042,890 
732.58	 1,042,910 
734.18	 1,042,920 
735.79	 1,042,940 
737.39	 1,042,960 
738.99	 1,042,980 
740.59	 1,043,000 
742.19	 1,043,020 
743.79	 1,043,040 
745.40	 1,043,070 
747.00	 1,043,090 
748.60	 1,043,110 
750.20	 1,043,140 
751.80	 1,043,160 
753.40	 1,043,190 
755.01	 1,043,220 
756.61	 1,043,240 
758.21	 1,043,270 
759.81	 1,043,300 
761.41	 1,043,320 
763.01	 1,043,350 
764.61	 1,043,370 
766.22	 1,043,400 
767.82	 1,043,420 
769.42	 1,043,440 
771.02	 1,043,450 
772.62	 1,043,470 
774.22	 1,043,480 
775.83	 1,043,490 
777.43	 1,043,500 
779.03	 1,043,500 
780.63	 1,043,500 
782.23	 1,043,500 
783.83	 1,043,500 
785.44	 1,043,490 
787.04	 1,043,490 
788.64	 1,043,480 
790.24	 1,043,480 
791.84	 1,043,480 
793.44	 1,043,490 
795.05	 1,043,500 
796.65	 1,043,520 
798.25	 1,043,540 
799.85	 1,043,580 
