H(A/m),M(A/m)
671.72,1042310
673.32,1042330
674.93,1042350
676.53,1042370
678.13,1042380
679.73,1042400
681.33,1042420
682.93,1042440
684.53,1042450
686.14,1042470
687.74,1042490
689.34,1042500
690.94,1042520
692.54,1042540
694.14,1042550
695.75,1042570
697.35,1042580
698.95,1042600
700.55,1042610
702.15,1042630
703.75,1042640
705.36,1042650
706.96,1042670
708.56,1042680
710.16,1042700
711.76,1042710
713.36,1042720
714.97,1042740
716.57,1042750
718.17,1042770
719.77,1042780
721.37,1042790
722.97,1042810
724.57,1042820
726.18,1042840
727.78,1042860
729.38,1042870
730.98,1042890
732.58,1042910
734.18,1042920
735.79,1042940
737.39,1042960
738.99,1042980
740.59,1043000
742.19,1043020
743.79,1043040
745.4,1043070
747,1043090
748.6,1043110
750.2,1043140
751.8,1043160
753.4,1043190
755.01,1043220
756.61,1043240
758.21,1043270
759.81,1043300
761.41,1043320
763.01,1043350
764.61,1043370
766.22,1043400
767.82,1043420
769.42,1043440
771.02,1043450
772.62,1043470
774.22,1043480
775.83,1043490
777.43,1043500
779.03,1043500
780.63,1043500
782.23,1043500
783.83,1043500
785.44,1043490
787.04,1043490
788.64,1043480
790.24,1043480
791.84,1043480
793.44,1043490
795.05,1043500
796.65,1043520
798.25,1043540
799.85,1043580
