H [A/m];M [A/m];M1 [A/m];M2 [A/m];dM/dH;dM1/dH;dM2/dH;dM/dlogH [A/m];dM1/dlogH [A/m];dM2/dlogH [A/m]
0.12659;9679.21948906265;9673.44950754089;5.76998152176386;76433.774819637;76388.1947460106;45.5800736263613;9675.75155441785;9669.98157289749;5.76998152036107
0.149039619899558;11394.9555474457;11388.1623105961;6.79323684959945;76417.9217300483;76372.3416564284;45.580073619943;11389.2980081606;11382.5047713133;6.79323684731018
0.175470481869063;13414.4647264586;13406.4667689747;7.99795748389368;76395.9623641888;76350.3822905777;45.5800736110464;13405.236328895;13397.2383714149;7.9979574801577
0.206588624072656;15791.3047606156;15781.8884359196;9.41632469598577;76365.5527766584;76319.9727030596;45.5800735987146;15776.2544746776;15766.8381499877;9.41632468988884
0.243225294315201;18588.3339441247;18577.2477173029;11.0862268217482;76323.4566760221;76277.8766024405;45.5800735816211;18563.795213179;18552.7089863672;11.0862268117983
0.286359154867649;21879.2367926822;21866.1845213231;13.052271359091;76265.2124759098;76219.6324023519;45.5800735579272;21839.2417904032;21826.1895190604;13.0522713428533
0.337142425122309;25750.2434116461;25734.8764350941;15.3669765519992;76184.682308003;76139.1022344779;45.5800735250843;25685.0885504928;25669.7215739673;15.3669765255001
0.396931660417444;30302.0299985908;30283.9378242994;18.092174291436;76073.4468125459;76027.8667390663;45.5800734795597;30195.9595569819;30177.8673827337;18.0921742481907
0.467323989214916;35651.7580505978;35630.4573887896;21.3006618082615;75920.003737533;75874.4236641165;45.5800734164566;35479.2390078353;35457.9383460976;21.3006617376873
0.550199776621663;41935.1596864816;41910.0815402024;25.0781462791815;75708.7271179165;75663.1470445875;45.5800733289874;41654.9247485881;41629.8466024241;25.0781461640079
0.647772853910375;49308.4958244011;49278.9702901099;29.5255342911815;75418.5538938643;75372.9738206566;45.5800732077435;48854.0918936219;48824.5663595187;29.5255341032238
0.762649655802625;57950.0897839427;57915.3281566207;34.7616273219106;75021.398574543;74975.8185015033;45.5800730396834;57215.0438007067;57180.2821736916;34.761627015173
0.897898845227521;68060.9575222603;68020.0312270211;40.9262952391297;74480.3742087774;74434.7941359707;45.5800728067299;66875.8419941749;66834.9156994364;40.9262947385491
1.05713328541719;79863.8093941242;79815.6251815328;48.1842125913028;73748.0483966254;73702.4683241416;45.5800724838255;77961.5166946305;77913.3324828561;48.18421177438
1.24460654903032;93599.400430629;93542.6711731343;56.7292574947526;72765.2179087966;72719.6378367604;45.5800720362373;90564.0667509069;90507.3374947453;56.7292561615749
1.46532654231756;109518.919551081;109452.129860459;66.7896906220125;71461.0555746316;71415.4755032158;45.580071415821;104713.781475538;104646.991787092;66.7896884463325
1.72518927953032;127870.985876058;127792.351623424;78.634252633776;69755.9039699761;69710.3238994202;45.5800705558418;120342.137712949;120263.503463866;78.6342490831739
2.03113638104109;148882.137951511;148789.558608581;92.5793429295916;67568.2342052274;67522.6541358636;45.5800693637971;137240.298696942;137147.719359807;92.5793371351847
2.39134050236612;172730.820521836;172621.823050361;108.997471475203;64826.8976084657;64781.3175407542;45.5800677114656;155023.185893866;154914.188431847;108.997462019018
2.81542364738972;199517.034208027;199388.706998559;128.327209468206;61488.2120958704;61442.6320304493;45.5800654211158;173115.366370429;172987.039176392;128.32719403618
3.31471419751317;229232.714753009;229081.629848373;151.084904635939;57554.5154743079;57508.9354120615;45.5800622463885;190776.76957368;190625.684694228;151.084879451638
3.90254952265606;261740.305292565;261562.426818431;177.878474134443;53087.7187955042;53042.1387376817;45.5800578224771;207177.451644294;206999.573211396;177.878432897744
4.59463225764959;296766.940326589;296557.516683508;209.423643081608;48210.6395154366;48165.0594636793;45.5800517572659;221510.159479541;221300.735903432;209.423576109272
5.40944976110548;333917.928661826;333671.365598117;246.56306370833;43092.6221572773;43047.0421139644;45.5800433128164;233107.374634092;232860.811679683;246.562954409692
